date,umich_sentiment,umich_expectations,conf_board,year,month
2015-01-01,98.1,2.5,101.1459,2015,1
2015-02-01,95.4,2.8,101.1482,2015,2
2015-03-01,93.0,3.0,101.0514,2015,3
2015-04-01,95.9,2.6,100.9965,2015,4
2015-05-01,90.7,2.8,100.9159,2015,5
2015-06-01,96.1,2.7,100.93,2015,6
2015-07-01,93.1,2.8,100.815,2015,7
2015-08-01,91.9,2.8,100.625,2015,8
2015-09-01,87.2,2.8,100.4538,2015,9
2015-10-01,90.0,2.7,100.4831,2015,10
2015-11-01,91.3,2.7,100.5999,2015,11
2015-12-01,92.6,2.6,100.6973,2015,12
2016-01-01,92.0,2.5,100.7104,2016,1
2016-02-01,91.7,2.5,100.673,2016,2
2016-03-01,91.0,2.7,100.633,2016,3
2016-04-01,89.0,2.8,100.6551,2016,4
2016-05-01,94.7,2.4,100.7778,2016,5
2016-06-01,93.5,2.6,100.7557,2016,6
2016-07-01,90.0,2.7,100.6087,2016,7
2016-08-01,89.8,2.5,100.5024,2016,8
2016-09-01,91.2,2.4,100.4832,2016,9
2016-10-01,87.2,2.4,100.5603,2016,10
2016-11-01,93.8,2.4,100.8904,2016,11
2016-12-01,98.2,2.2,101.2288,2016,12
2017-01-01,98.5,2.6,101.3774,2017,1
2017-02-01,96.3,2.7,101.365,2017,2
2017-03-01,96.9,2.5,101.3344,2017,3
2017-04-01,97.0,2.5,101.2947,2017,4
2017-05-01,97.1,2.6,101.2233,2017,5
2017-06-01,95.0,2.6,101.1172,2017,6
2017-07-01,93.4,2.6,101.0761,2017,7
2017-08-01,96.8,2.6,101.1728,2017,8
2017-09-01,95.1,2.7,101.2939,2017,9
2017-10-01,100.7,2.4,101.4439,2017,10
2017-11-01,98.5,2.5,101.4238,2017,11
2017-12-01,95.9,2.7,101.341,2017,12
2018-01-01,95.7,2.7,101.3704,2018,1
2018-02-01,99.7,2.7,101.5302,2018,2
2018-03-01,101.4,2.8,101.6295,2018,3
2018-04-01,98.8,2.7,101.5796,2018,4
2018-05-01,98.0,2.8,101.4953,2018,5
2018-06-01,98.2,3.0,101.4384,2018,6
2018-07-01,97.9,2.9,101.4075,2018,7
2018-08-01,96.2,3.0,101.4186,2018,8
2018-09-01,100.1,2.7,101.5003,2018,9
2018-10-01,98.6,2.9,101.4828,2018,10
2018-11-01,97.5,2.8,101.3758,2018,11
2018-12-01,98.3,2.7,101.2088,2018,12
2019-01-01,91.2,2.7,101.0089,2019,1
2019-02-01,93.8,2.6,101.0619,2019,2
2019-03-01,98.4,2.5,101.2753,2019,3
2019-04-01,97.2,2.5,101.4318,2019,4
2019-05-01,100.0,2.9,101.5178,2019,5
2019-06-01,98.2,2.7,101.426,2019,6
2019-07-01,98.4,2.6,101.1991,2019,7
2019-08-01,89.8,2.7,100.9093,2019,8
2019-09-01,93.2,2.8,100.9092,2019,9
2019-10-01,95.5,2.5,101.1078,2019,10
2019-11-01,96.8,2.5,101.3707,2019,11
2019-12-01,99.3,2.3,101.5937,2019,12
2020-01-01,99.8,2.5,101.5921,2020,1
2020-02-01,101.0,2.4,101.1732,2020,2
2020-03-01,89.1,2.2,100.1966,2020,3
2020-04-01,71.8,2.1,99.13439,2020,4
2020-05-01,72.3,3.2,98.6451,2020,5
2020-06-01,78.1,3.0,98.59637,2020,6
2020-07-01,72.5,3.0,98.6133,2020,7
2020-08-01,74.1,3.1,98.81078,2020,8
2020-09-01,80.4,2.6,99.11648,2020,9
2020-10-01,81.8,2.6,99.26201,2020,10
2020-11-01,76.9,2.8,99.21984,2020,11
2020-12-01,80.7,2.5,99.22284,2020,12
2021-01-01,79.0,3.0,99.2288,2021,1
2021-02-01,76.8,3.3,99.36539,2021,2
2021-03-01,84.9,3.1,99.72382,2021,3
2021-04-01,88.3,3.4,99.96289,2021,4
2021-05-01,82.9,4.6,99.90543,2021,5
2021-06-01,85.5,4.2,99.70004,2021,6
2021-07-01,81.2,4.7,99.24198,2021,7
2021-08-01,70.3,4.6,98.68501,2021,8
