date,production_kbd,production_mmbpd,production_smooth,year,month
2023-07-01,12946.0,12.946,12.935,2023,7
2023-08-01,13033.0,13.033,13.059333333333333,2023,8
2023-09-01,13199.0,13.199,13.159999999999998,2023,9
2023-10-01,13248.0,13.248,13.263666666666666,2023,10
2023-11-01,13344.0,13.344,13.305666666666667,2023,11
2023-12-01,13325.0,13.325,13.073333333333332,2023,12
2024-01-01,12551.0,12.551,13.014000000000001,2024,1
2024-02-01,13166.0,13.166,12.970999999999998,2024,2
2024-03-01,13196.0,13.196,13.226333333333335,2024,3
2024-04-01,13317.0,13.317,13.255333333333335,2024,4
2024-05-01,13253.0,13.253,13.271,2024,5
2024-06-01,13243.0,13.243,13.241666666666667,2024,6
2024-07-01,13229.0,13.229,13.296,2024,7
2024-08-01,13416.0,13.416,13.290999999999999,2024,8
2024-09-01,13228.0,13.228,13.408999999999999,2024,9
2024-10-01,13583.0,13.583,13.434,2024,10
2024-11-01,13491.0,13.491,13.534666666666666,2024,11
2024-12-01,13530.0,13.53,13.396,2024,12
2025-01-01,13167.0,13.167,13.322000000000001,2025,1
2025-02-01,13269.0,13.269,13.321,2025,2
2025-03-01,13527.0,13.527,13.451333333333332,2025,3
2025-04-01,13558.0,13.558,13.54,2025,4
2025-05-01,13535.0,13.535,13.582999999999998,2025,5
2025-06-01,13656.0,13.656,13.638333333333334,2025,6
2025-07-01,13724.0,13.724,13.738333333333335,2025,7
2025-08-01,13835.0,13.835,13.825333333333333,2025,8
2025-09-01,13917.0,13.917,13.915666666666667,2025,9
2025-10-01,13995.0,13.995,13.946333333333333,2025,10
2025-11-01,13927.0,13.927,13.910666666666666,2025,11
2025-12-01,13810.0,13.81,13.680666666666667,2025,12
2026-01-01,13305.0,13.305,13.608666666666666,2026,1
2026-02-01,13711.0,13.711,13.580666666666666,2026,2
2026-03-01,13726.0,13.726,13.806,2026,3
2026-04-01,13981.0,13.981,13.820666666666668,2026,4
2026-05-01,13755.0,13.755,13.842666666666668,2026,5
2026-06-01,13792.0,13.792,13.773500000000002,2026,6
