date,crude_US_days,crude_US_inv,crude_US_demand,distillate_US_days,distillate_US_inv,distillate_US_demand,week,year,crude_US_days_5yr_avg,crude_US_days_vs_avg,distillate_US_days_5yr_avg,distillate_US_days_vs_avg
2026-03-27,28.2,461.636,16.379,29.2,117.825,4.039,13,2026,,,,
2026-04-03,28.6,464.717,16.25,28.2,114.681,4.06,14,2026,,,,
2026-04-10,28.9,463.804,16.042,29.1,111.559,3.84,15,2026,,,,
2026-04-17,29.1,465.729,15.987,26.8,108.132,4.032,16,2026,,,,
2026-04-24,28.6,459.495,16.071,25.2,103.638,4.113,17,2026,,,,
2026-05-01,28.5,457.182,16.029,30.4,102.344,3.362,18,2026,,,,
2026-05-08,27.6,452.876,16.399,29.9,102.534,3.428,19,2026,,,,
2026-05-15,27.3,445.013,16.319,29.0,102.906,3.552,20,2026,,,,
2026-05-22,26.0,441.686,16.971,25.5,100.799,3.948,21,2026,,,,
2026-05-29,25.7,433.712,16.881,29.5,102.301,3.468,22,2026,,,,
2026-06-05,25.1,426.485,16.962,26.4,102.101,3.864,23,2026,,,,
2026-06-12,24.3,418.222,17.192,28.2,103.052,3.659,24,2026,,,,
2026-06-19,24.1,412.134,17.111,30.0,106.116,3.533,25,2026,,,,
2026-06-26,23.7,408.359,17.196,30.0,108.599,3.614,26,2026,,,,
2026-07-03,24.2,411.357,17.024,24.1,103.619,4.307,27,2026,,,,
2026-07-10,23.9,409.665,17.123,34.3,108.175,3.156,28,2026,,,,
2026-07-17,24.1,411.675,17.065,29.5,109.57,3.718,29,2026,,,,
2026-07-24,23.3,404.508,17.336,31.4,110.632,3.524,30,2026,,,,
2026-07-31,23.7,406.987,17.153,27.2,107.159,3.941,31,2026,,,,
2026-08-07,24.7,424.41,17.179,31.0,107.149,3.458,32,2026,,,,
