quarter,exp_pharma,imp_pharma,exp_precious_metals,imp_precious_metals,exp_gold,imp_gold,exp_semiconductors,imp_semiconductors,exp_telecom,imp_telecom,exp_chemicals,imp_chemicals,exp_steel,imp_steel,exp_apparel,imp_apparel,bal_pharma,bal_precious_metals,bal_gold,bal_semiconductors,bal_telecom,bal_chemicals,bal_steel,bal_apparel
2015Q1,13.741,25.388,1.722,2.419,5.481,2.989,10.823,11.063,10.325,16.026,28.392,19.22,4.645,11.804,2.769,36.746,-11.647000000000002,-0.6970000000000001,2.492,-0.2400000000000002,-5.7010000000000005,9.172,-7.159000000000001,-33.977000000000004
2015Q2,13.32,28.062,1.644,2.309,4.796,3.376,10.766,11.504,10.991,16.322,28.562,18.816,4.116,10.244,2.897,35.779,-14.742,-0.6650000000000003,1.4200000000000004,-0.7379999999999995,-5.3309999999999995,9.746000000000002,-6.128,-32.882000000000005
2015Q3,13.61,26.919,1.491,2.052,6.032,3.298,10.731,11.694,10.076,16.783,28.044,18.252,3.928,9.283,2.757,36.658,-13.309000000000001,-0.5609999999999999,2.734,-0.963000000000001,-6.707000000000001,9.792000000000002,-5.3549999999999995,-33.901
2015Q4,14.227,27.979,1.464,2.042,5.017,2.927,10.492,11.986,10.461,17.186,26.258,17.338,3.661,8.773,2.7,34.914,-13.751999999999999,-0.5779999999999998,2.0900000000000003,-1.4939999999999998,-6.725,8.919999999999998,-5.112,-32.214
2016Q1,13.557,27.428,1.485,1.79,4.24,3.388,10.975,12.825,9.945,17.03,25.734,17.152,3.537,8.056,2.617,34.588,-13.871,-0.30499999999999994,0.8520000000000003,-1.8499999999999996,-7.085000000000001,8.582,-4.518999999999999,-31.971
2016Q2,13.381,28.038,1.284,2.005,4.026,5.502,11.118,13.316,10.563,17.76,25.685,17.372,3.613,8.013,2.618,34.022,-14.657,-0.7209999999999999,-1.476,-2.1980000000000004,-7.197000000000001,8.312999999999999,-4.4,-31.404
2016Q3,13.177,27.902,1.492,2.632,5.779,5.557,11.061,13.052,10.286,18.445,26.366,17.593,3.63,8.836,2.554,33.403,-14.725000000000001,-1.1400000000000001,0.22199999999999953,-1.9909999999999997,-8.159,8.773,-5.206,-30.849
2016Q4,13.028,28.357,1.439,2.3,6.497,3.707,11.011,12.586,10.373,18.773,26.022,17.79,3.692,8.846,2.518,33.909,-15.328999999999999,-0.8609999999999998,2.79,-1.575000000000001,-8.4,8.232,-5.154,-31.391
2017Q1,13.388,27.779,1.326,2.244,6.176,3.482,11.678,13.141,9.806,19.013,27.838,18.03,4.02,9.081,2.599,34.18,-14.391,-0.9180000000000001,2.694,-1.4629999999999992,-9.207000000000003,9.808,-5.061,-31.581
2017Q2,13.06,26.585,1.484,2.393,5.689,2.735,11.669,12.759,8.898,18.687,27.174,18.629,4.222,10.272,2.56,34.129,-13.525,-0.9089999999999998,2.954,-1.0899999999999999,-9.789000000000001,8.544999999999998,-6.05,-31.569
2017Q3,12.239,26.209,1.719,2.252,4.94,2.903,11.969,13.318,9.96,17.865,27.28,18.499,4.087,10.05,2.579,33.816,-13.969999999999999,-0.5329999999999997,2.0370000000000004,-1.3490000000000002,-7.904999999999998,8.781000000000002,-5.963000000000001,-31.237000000000002
