date,us_total,us_private,california,new_york,florida,illinois,pennsylvania,ohio,georgia,michigan,washington,year,month
2015-01-01,140568.0,118608.0,15813.1,9215.3,7978.3,5917.8,5812.2,5387.2,4206.8,4222.3,3104.0,2015,1
2015-02-01,140827.0,118849.0,15842.2,9218.5,8001.2,5923.3,5812.5,5391.4,4218.1,4222.3,3109.9,2015,2
2015-03-01,140923.0,118953.0,15889.0,9227.8,8023.1,5924.7,5805.0,5391.5,4223.8,4224.9,3120.4,2015,3
2015-04-01,141196.0,119191.0,15917.9,9234.5,8041.2,5949.9,5818.3,5404.9,4224.9,4227.2,3122.5,2015,4
2015-05-01,141538.0,119526.0,15964.8,9281.2,8075.5,5972.1,5834.1,5424.2,4246.2,4246.0,3132.1,2015,5
2015-06-01,141709.0,119694.0,16006.7,9293.4,8100.9,5975.8,5840.2,5425.4,4263.6,4243.1,3146.0,2015,6
2015-07-01,141991.0,119941.0,16096.6,9310.3,8126.6,5981.5,5836.3,5433.3,4267.4,4251.9,3148.2,2015,7
2015-08-01,142125.0,120065.0,16141.1,9317.4,8150.9,5978.2,5845.3,5439.4,4278.2,4255.9,3156.8,2015,8
2015-09-01,142275.0,120235.0,16160.6,9319.3,8169.3,5980.9,5845.4,5438.6,4286.7,4257.7,3164.4,2015,9
2015-10-01,142579.0,120523.0,16224.8,9346.6,8210.5,5991.2,5847.8,5446.2,4304.4,4274.4,3168.0,2015,10
2015-11-01,142808.0,120727.0,16249.7,9359.4,8237.9,5992.1,5855.2,5450.2,4307.9,4275.5,3174.5,2015,11
2015-12-01,143077.0,120980.0,16284.9,9368.7,8264.7,5998.3,5861.0,5458.2,4324.5,4287.5,3183.4,2015,12
2016-01-01,143210.0,121096.0,16308.8,9375.7,8270.0,6000.4,5854.8,5457.4,4323.9,4296.1,3193.4,2016,1
2016-02-01,143406.0,121268.0,16347.9,9384.5,8294.2,6000.5,5859.8,5462.5,4333.1,4299.0,3205.9,2016,2
2016-03-01,143662.0,121484.0,16327.7,9409.3,8314.7,5998.6,5872.5,5468.7,4332.0,4301.5,3213.2,2016,3
