date,capital_goods,consumer_goods,automotive,foods,industrial,petroleum,computers,aircraft,quarter
2015-01-01,548.878,199.963,148.162,146.79,436.358,116.287,46.443,122.679,2015Q1
2015-04-01,545.385,196.338,151.785,141.503,439.01,120.164,46.587,119.229,2015Q2
2015-07-01,535.141,196.423,154.668,133.562,413.586,107.773,47.401,114.847,2015Q3
2015-10-01,529.815,196.547,152.96,130.51,383.612,95.885,46.954,121.196,2015Q4
2016-01-01,522.23,190.945,146.972,129.077,369.199,89.133,47.061,119.164,2016Q1
2016-04-01,520.663,191.805,151.551,128.985,383.975,102.048,46.337,122.85,2016Q2
2016-07-01,515.801,195.489,152.486,154.72,394.423,100.209,43.854,120.811,2016Q3
2016-10-01,521.31,194.792,150.581,147.027,402.802,105.54,42.98,120.91,2016Q4
2017-01-01,523.822,195.292,157.515,146.906,448.626,136.038,43.77,118.832,2017Q1
2017-04-01,523.2,198.372,156.479,141.276,440.498,129.612,45.201,118.99,2017Q2
2017-07-01,539.192,195.652,155.455,143.225,447.741,131.765,45.843,125.985,2017Q3
2017-10-01,548.569,199.442,162.019,143.896,500.653,165.13,49.398,120.063,2017Q4
2018-01-01,557.039,204.522,165.235,142.401,511.231,170.697,48.841,127.878,2018Q1
2018-04-01,567.664,205.671,161.32,157.465,544.395,195.895,50.512,131.311,2018Q2
2018-07-01,561.407,203.854,156.038,145.235,545.104,198.405,47.855,128.408,2018Q3
2018-10-01,567.641,208.003,152.737,136.127,546.735,201.095,50.819,135.456,2018Q4
2019-01-01,568.777,210.627,165.606,139.642,526.287,191.128,51.206,138.532,2019Q1
2019-04-01,545.438,205.702,163.908,143.561,528.536,195.17,49.35,119.835,2019Q2
2019-07-01,544.429,204.022,164.673,146.551,518.566,187.382,44.194,122.513,2019Q3
2019-10-01,544.354,199.576,158.113,139.063,532.336,205.07,42.942,123.193,2019Q4
2020-01-01,531.626,187.262,153.731,141.098,522.108,193.158,42.571,115.016,2020Q1
2020-04-01,399.737,134.35,63.034,133.784,365.427,94.925,37.961,49.407,2020Q2
2020-07-01,448.06,178.564,147.47,158.565,431.78,129.123,41.422,58.225,2020Q3
2020-10-01,473.981,196.458,153.276,170.904,484.992,138.157,42.792,65.411,2020Q4
2021-01-01,493.998,192.267,151.713,177.14,546.711,165.149,44.989,68.281,2021Q1
2021-04-01,527.821,209.458,142.629,175.165,605.376,203.626,46.455,79.922,2021Q2
2021-07-01,522.466,228.58,139.512,169.628,629.666,211.92,47.044,81.222,2021Q3
2021-10-01,541.606,256.903,151.785,190.784,688.811,251.013,48.381,90.535,2021Q4
2022-01-01,555.002,237.115,153.685,188.122,753.916,297.333,48.595,91.343,2022Q1
2022-04-01,564.2,248.37,161.303,215.557,881.075,371.735,48.405,92.592,2022Q2
2022-07-01,584.289,249.097,162.898,198.167,858.793,351.008,51.489,94.533,2022Q3
2022-10-01,589.353,242.874,173.912,182.869,774.278,313.714,51.312,99.196,2022Q4
2023-01-01,595.098,270.567,175.733,184.558,745.525,299.645,48.571,107.985,2023Q1
2023-04-01,591.798,252.622,179.879,171.171,694.646,273.362,48.54,110.228,2023Q2
2023-07-01,607.351,260.709,188.279,168.391,715.81,302.839,48.755,113.732,2023Q3
2023-10-01,617.126,251.835,176.29,174.378,731.338,314.04,50.009,124.027,2023Q4
2024-01-01,623.894,256.485,174.128,179.72,722.632,307.665,56.682,124.12,2024Q1
2024-04-01,639.657,265.871,178.368,172.221,711.394,302.305,69.431,119.312,2024Q2
2024-07-01,678.072,262.435,170.875,174.726,712.809,296.598,79.126,130.529,2024Q3
2024-10-01,647.001,253.565,166.651,182.559,706.063,292.426,69.072,123.909,2024Q4
2025-01-01,702.295,262.916,171.958,173.601,719.46,292.351,79.406,153.387,2025Q1
2025-04-01,712.418,264.122,153.835,173.806,689.666,267.012,100.828,146.039,2025Q2
2025-07-01,731.412,276.587,155.867,177.656,688.736,271.376,114.469,166.138,2025Q3
