date,gdp,consumption,investment,govt_spending,exports
2015-01-01,18666.621,12516.902,3314.895,3277.17,2288.491
2015-04-01,18782.243,12603.053,3328.049,3309.301,2294.628
2015-07-01,18857.418,12691.79,3335.27,3326.769,2276.101
2015-10-01,18892.206,12743.411,3315.334,3341.055,2273.012
2016-01-01,19001.69,12839.618,3301.09,3371.646,2266.512
2016-04-01,19062.709,12903.306,3287.033,3369.042,2284.053
2016-07-01,19197.938,12993.064,3301.079,3383.696,2321.136
2016-10-01,19304.352,13060.061,3391.749,3389.649,2303.823
2017-01-01,19398.343,13160.475,3382.703,3380.244,2359.904
2017-04-01,19506.949,13225.743,3435.929,3389.811,2367.862
2017-07-01,19660.766,13315.382,3493.166,3394.009,2381.788
2017-10-01,19882.352,13460.902,3558.859,3424.498,2443.487
2018-01-01,20044.077,13558.373,3612.936,3431.709,2459.308
2018-04-01,20150.476,13630.967,3612.389,3456.309,2472.656
2018-07-01,20276.154,13693.79,3722.248,3483.628,2441.791
2018-10-01,20304.874,13736.572,3724.752,3488.352,2451.936
2019-01-01,20431.641,13758.331,3755.53,3536.6,2474.928
2019-04-01,20602.275,13875.705,3790.049,3584.587,2462.392
2019-07-01,20843.322,14033.222,3819.94,3625.512,2462.912
2019-10-01,20985.448,14125.274,3770.431,3654.831,2477.908
2020-01-01,20709.212,13887.048,3676.274,3694.317,2386.717
2020-04-01,19077.992,12685.319,3163.508,3773.803,1886.408
2020-07-01,20558.879,13813.706,3755.526,3709.59,2115.807
2020-10-01,20791.917,14001.366,3878.929,3713.073,2242.313
2021-01-01,21082.134,14319.617,3849.329,3765.689,2247.373
2021-04-01,21440.929,14820.014,3799.029,3721.606,2270.167
2021-07-01,21617.828,14943.244,3937.3,3693.852,2268.632
2021-10-01,21988.737,15086.862,4191.773,3693.416,2402.502
2022-01-01,21932.71,15100.85,4272.382,3665.467,2377.526
2022-04-01,21967.045,15224.357,4176.99,3652.407,2451.687
2022-07-01,22125.625,15295.828,4105.292,3667.845,2538.933
2022-10-01,22278.345,15326.248,4184.98,3705.121,2520.098
2023-01-01,22439.607,15495.754,4108.542,3742.908,2543.543
2023-04-01,22580.499,15553.719,4180.752,3773.544,2509.264
2023-07-01,22840.989,15671.906,4275.527,3821.238,2536.726
2023-10-01,23033.78,15789.717,4313.169,3865.061,2574.628
2024-01-01,23082.119,15857.704,4296.251,3887.055,2603.639
2024-04-01,23286.508,16009.637,4381.983,3919.17,2607.96
2024-07-01,23478.57,16165.768,4392.176,3971.281,2664.338
2024-10-01,23586.542,16320.89,4315.564,4003.781,2658.454
2025-01-01,23548.21,16345.793,4547.947,3993.923,2659.528
2025-04-01,23770.976,16445.685,4382.819,3992.974,2647.279
2025-07-01,24026.834,16585.878,4383.186,4014.983,2708.774
2025-10-01,24055.749,16665.219,4408.299,3957.098,2686.754
2026-01-01,24174.527,16731.167,4501.152,3999.713,2769.377
