date,housing_starts,building_permits,new_home_sales,median_home_price,case_shiller,mortgage_rate_30yr,mortgage_rate_15yr,existing_home_sales,case_shiller_yoy,year,month
2015-01-01,1085.0,1049.0,515.0,289200.0,166.23,,,,,2015,1
2015-01-08,,,,,,3.73,3.05,,,2015,1
2015-01-15,,,,,,3.66,2.98,,,2015,1
2015-01-22,,,,,,3.63,2.93,,,2015,1
2015-01-29,,,,,,3.66,2.98,,,2015,1
2015-02-01,886.0,1127.0,540.0,,166.609,,,,,2015,2
2015-02-05,,,,,,3.59,2.92,,,2015,2
2015-02-12,,,,,,3.69,2.99,,,2015,2
2015-02-19,,,,,,3.76,3.05,,,2015,2
2015-02-26,,,,,,3.8,3.07,,,2015,2
2015-03-01,960.0,1072.0,480.0,,168.068,,,,,2015,3
2015-03-05,,,,,,3.75,3.03,,,2015,3
2015-03-12,,,,,,3.86,3.1,,1.105696925945998,2015,3
2015-03-19,,,,,,3.78,3.06,,1.105696925945998,2015,3
2015-03-26,,,,,,3.69,2.97,,1.105696925945998,2015,3
2015-04-01,1190.0,1166.0,502.0,289100.0,169.953,,,,2.239667929976541,2015,4
2015-04-02,,,,,,3.7,2.98,,2.239667929976541,2015,4
2015-04-09,,,,,,3.66,2.93,,2.007094454681324,2015,4
2015-04-16,,,,,,3.67,2.94,,2.007094454681324,2015,4
2015-04-23,,,,,,3.65,2.92,,2.007094454681324,2015,4
2015-04-30,,,,,,3.68,2.94,,2.007094454681324,2015,4
2015-05-01,1079.0,1272.0,502.0,,171.835,,,,3.1366852931114186,2015,5
2015-05-07,,,,,,3.8,3.02,,2.2413546897684267,2015,5
2015-05-14,,,,,,3.85,3.07,,2.2413546897684267,2015,5
2015-05-21,,,,,,3.84,3.05,,2.2413546897684267,2015,5
2015-05-28,,,,,,3.87,3.11,,2.2413546897684267,2015,5
2015-06-01,1205.0,1379.0,480.0,,173.434,,,,3.192755313325546,2015,6
2015-06-04,,,,,,3.87,3.08,,2.048213329567594,2015,6
2015-06-11,,,,,,4.04,3.25,,2.048213329567594,2015,6
2015-06-18,,,,,,4.0,3.23,,2.048213329567594,2015,6
2015-06-25,,,,,,4.02,3.21,,2.048213329567594,2015,6
2015-07-01,1146.0,1140.0,506.0,295800.0,174.477,,,,2.66191241107836,2015,7
2015-07-02,,,,,,4.08,3.24,,2.66191241107836,2015,7
2015-07-09,,,,,,4.04,3.2,,1.5375214595396702,2015,7
2015-07-16,,,,,,4.09,3.25,,1.5375214595396702,2015,7
2015-07-23,,,,,,4.04,3.21,,1.5375214595396702,2015,7
2015-07-30,,,,,,3.98,3.17,,1.5375214595396702,2015,7
2015-08-01,1130.0,1165.0,518.0,,174.916,,,,1.7929990979718813,2015,8
2015-08-06,,,,,,3.91,3.13,,0.8545037305257353,2015,8
2015-08-13,,,,,,3.94,3.17,,0.8545037305257353,2015,8
2015-08-20,,,,,,3.93,3.15,,0.8545037305257353,2015,8
2015-08-27,,,,,,3.84,3.06,,0.8545037305257353,2015,8
2015-09-01,1224.0,1144.0,456.0,,175.021,,,,0.9150454928099405,2015,9
2015-09-03,,,,,,3.89,3.09,,0.31178894639407595,2015,9
2015-09-10,,,,,,3.9,3.1,,0.31178894639407595,2015,9
2015-09-17,,,,,,3.91,3.11,,0.31178894639407595,2015,9
2015-09-24,,,,,,3.86,3.08,,0.31178894639407595,2015,9
2015-10-01,1058.0,1160.0,482.0,302500.0,175.025,3.85,3.07,,0.3140815121764007,2015,10
2015-10-08,,,,,,3.76,2.99,,0.3140815121764007,2015,10
2015-10-15,,,,,,3.82,3.03,,0.06231562578609129,2015,10
2015-10-22,,,,,,3.79,2.98,,0.06231562578609129,2015,10
2015-10-29,,,,,,3.76,2.98,,0.06231562578609129,2015,10
2015-11-01,1172.0,1244.0,504.0,,175.115,,,,0.11376889478378338,2015,11
2015-11-05,,,,,,3.87,3.09,,0.11376889478378338,2015,11
2015-11-12,,,,,,3.98,3.2,,0.05370784077340929,2015,11
2015-11-19,,,,,,3.97,3.18,,0.05370784077340929,2015,11
2015-11-25,,,,,,3.95,3.18,,0.05370784077340929,2015,11
2015-12-01,1146.0,1211.0,546.0,,175.088,,,,0.03828112055124233,2015,12
2015-12-03,,,,,,3.93,3.16,,0.03828112055124233,2015,12
2015-12-10,,,,,,3.95,3.19,,0.03599485787744161,2015,12
2015-12-17,,,,,,3.97,3.22,,0.03599485787744161,2015,12
2015-12-24,,,,,,3.96,3.22,,0.03599485787744161,2015,12
2015-12-31,,,,,,4.01,3.24,,0.03599485787744161,2015,12
2016-01-01,1092.0,1171.0,505.0,299800.0,175.011,,,,-0.007998857306101836,2016,1
2016-01-07,,,,,,3.97,3.26,,-0.059389544013943585,2016,1
2016-01-14,,,,,,3.92,3.19,,-0.059389544013943585,2016,1
2016-01-21,,,,,,3.81,3.1,,-0.059389544013943585,2016,1
2016-01-28,,,,,,3.79,3.07,,-0.059389544013943585,2016,1
2016-02-01,1225.0,1172.0,517.0,,175.259,,,,0.08223167632697148,2016,2
2016-02-04,,,,,,3.72,3.01,,0.09766517408389408,2016,2
2016-02-11,,,,,,3.65,2.95,,0.09766517408389408,2016,2
2016-02-18,,,,,,3.65,2.95,,0.09766517408389408,2016,2
2016-02-25,,,,,,3.62,2.93,,0.09766517408389408,2016,2
2016-03-01,1111.0,1118.0,532.0,,176.582,,,,0.8532852051539752,2016,3
2016-03-03,,,,,,3.64,2.94,,0.8532852051539752,2016,3
2016-03-10,,,,,,3.68,2.96,,0.8976578615058406,2016,3
2016-03-17,,,,,,3.73,2.99,,0.8976578615058406,2016,3
2016-03-24,,,,,,3.71,2.96,,0.8976578615058406,2016,3
2016-03-31,,,,,,3.71,2.98,,0.8976578615058406,2016,3
2016-04-01,1163.0,1160.0,576.0,306000.0,178.478,,,,1.9810183359903144,2016,4
2016-04-07,,,,,,3.59,2.88,,1.8367102402729873,2016,4
2016-04-14,,,,,,3.58,2.86,,1.8367102402729873,2016,4
2016-04-21,,,,,,3.59,2.85,,1.8367102402729873,2016,4
2016-04-28,,,,,,3.66,2.89,,1.8367102402729873,2016,4
2016-05-01,1148.0,1205.0,571.0,,180.327,,,,2.891720254024044,2016,5
2016-05-05,,,,,,3.61,2.86,,2.1208277174344037,2016,5
2016-05-12,,,,,,3.57,2.81,,2.1208277174344037,2016,5
2016-05-19,,,,,,3.58,2.81,,2.1208277174344037,2016,5
2016-05-26,,,,,,3.64,2.89,,2.1208277174344037,2016,5
2016-06-01,1203.0,1208.0,557.0,,181.899,,,,3.0110656805336866,2016,6
2016-06-02,,,,,,3.66,2.92,,3.0110656805336866,2016,6
2016-06-09,,,,,,3.6,2.87,,1.9167628503232947,2016,6
2016-06-16,,,,,,3.54,2.81,,1.9167628503232947,2016,6
2016-06-23,,,,,,3.56,2.83,,1.9167628503232947,2016,6
2016-06-30,,,,,,3.48,2.78,,1.9167628503232947,2016,6
2016-07-01,1239.0,1198.0,628.0,303800.0,183.002,,,,2.5347661896704343,2016,7
2016-07-07,,,,,,3.41,2.74,,1.4834162382782345,2016,7
2016-07-14,,,,,,3.42,2.72,,1.4834162382782345,2016,7
2016-07-21,,,,,,3.45,2.75,,1.4834162382782345,2016,7
2016-07-28,,,,,,3.48,2.78,,1.4834162382782345,2016,7
2016-08-01,1171.0,1201.0,575.0,,183.64,,,,1.8372179429591684,2016,8
2016-08-04,,,,,,3.43,2.74,,0.9571245581339038,2016,8
2016-08-11,,,,,,3.45,2.76,,0.9571245581339038,2016,8
2016-08-18,,,,,,3.43,2.74,,0.9571245581339038,2016,8
2016-08-25,,,,,,3.43,2.74,,0.9571245581339038,2016,8
2016-09-01,1068.0,1303.0,558.0,,183.926,3.46,2.77,,1.11435466934946,2016,9
2016-09-08,,,,,,3.44,2.76,,1.11435466934946,2016,9
2016-09-15,,,,,,3.5,2.77,,0.5049125146173061,2016,9
2016-09-22,,,,,,3.48,2.76,,0.5049125146173061,2016,9
2016-09-29,,,,,,3.42,2.72,,0.5049125146173061,2016,9
2016-10-01,1313.0,1254.0,575.0,310900.0,183.995,,,,0.542617020579006,2016,10
2016-10-06,,,,,,3.42,2.72,,0.542617020579006,2016,10
2016-10-13,,,,,,3.47,2.76,,0.1933130037029107,2016,10
2016-10-20,,,,,,3.52,2.79,,0.1933130037029107,2016,10
2016-10-27,,,,,,3.47,2.78,,0.1933130037029107,2016,10
2016-11-01,1140.0,1230.0,571.0,,184.205,,,,0.30766717490744444,2016,11
2016-11-03,,,,,,3.54,2.84,,0.30766717490744444,2016,11
2016-11-10,,,,,,3.57,2.88,,0.15169144112308075,2016,11
2016-11-17,,,,,,3.94,3.14,,0.15169144112308075,2016,11
2016-11-23,,,,,,4.03,3.25,,0.15169144112308075,2016,11
2016-12-01,1252.0,1248.0,561.0,,184.377,4.08,3.34,,0.24520731163621967,2016,12
2016-12-08,,,,,,4.13,3.36,,0.24520731163621967,2016,12
2016-12-15,,,,,,4.16,3.37,,0.20761433734612922,2016,12
2016-12-22,,,,,,4.3,3.52,,0.20761433734612922,2016,12
2016-12-29,,,,,,4.32,3.55,,0.20761433734612922,2016,12
2017-01-01,1190.0,1303.0,573.0,313100.0,184.63,,,,0.34511807386070625,2017,1
2017-01-05,,,,,,4.2,3.44,,0.34511807386070625,2017,1
2017-01-12,,,,,,4.12,3.37,,0.23072120735050383,2017,1
2017-01-19,,,,,,4.09,3.34,,0.23072120735050383,2017,1
