date,mfg_employment,industrial_prod_mfg,capacity_util_mfg,durable_goods_orders,new_orders,industrial_prod,year,month
2015-01-01,12265.0,100.7857,77.2673,225739.0,64918.0,102.8905,2015,1
2015-02-01,12275.0,100.0389,76.7788,217321.0,63754.0,102.2335,2015,2
2015-03-01,12286.0,100.3616,77.107,230136.0,65042.0,101.8914,2015,3
2015-04-01,12291.0,100.3447,77.168,225656.0,64140.0,101.3355,2015,4
2015-05-01,12306.0,100.3722,77.2543,218316.0,62567.0,100.8883,2015,5
2015-06-01,12307.0,99.9743,77.0019,228948.0,63826.0,100.571,2015,6
2015-07-01,12323.0,100.7102,77.6092,228347.0,63498.0,101.2228,2015,7
2015-08-01,12318.0,100.4099,77.4038,222335.0,63168.0,101.0367,2015,8
2015-09-01,12326.0,100.1731,77.2334,217744.0,63297.0,100.7547,2015,9
2015-10-01,12334.0,100.0112,77.1073,226517.0,63423.0,100.2675,2015,10
2015-11-01,12329.0,99.7327,76.8788,224319.0,62071.0,99.5298,2015,11
2015-12-01,12333.0,99.4727,76.6535,217570.0,60201.0,99.0417,2015,12
2016-01-01,12354.0,99.9002,76.9479,228982.0,61840.0,99.5607,2016,1
2016-02-01,12337.0,99.569,76.6505,216792.0,60985.0,99.0445,2016,2
2016-03-01,12313.0,99.5203,76.5647,218388.0,60742.0,98.3096,2016,3
2016-04-01,12325.0,99.4128,76.4303,229837.0,61003.0,98.6421,2016,4
2016-05-01,12303.0,99.334,76.3181,223117.0,59411.0,98.4184,2016,5
2016-06-01,12321.0,99.5908,76.467,206910.0,59363.0,98.8833,2016,6
2016-07-01,12342.0,99.6224,76.4489,216155.0,59725.0,98.9992,2016,7
2016-08-01,12319.0,99.1988,76.0902,217584.0,61548.0,98.85,2016,8
2016-09-01,12317.0,99.3936,76.2173,217396.0,59556.0,98.7457,2016,9
2016-10-01,12316.0,99.4863,76.2794,233461.0,59386.0,98.7611,2016,10
2016-11-01,12311.0,99.3724,76.1979,216353.0,59397.0,98.3491,2016,11
2016-12-01,12324.0,99.3843,76.2277,219525.0,59545.0,99.0214,2016,12
2017-01-01,12334.0,99.5441,76.3856,219277.0,60620.0,98.7611,2017,1
2017-02-01,12350.0,99.4265,76.3458,221514.0,60640.0,98.3646,2017,2
2017-03-01,12361.0,99.1019,76.16,222944.0,61260.0,99.0137,2017,3
2017-04-01,12367.0,100.3189,77.1705,224150.0,61185.0,100.0224,2017,4
2017-05-01,12377.0,100.1472,77.1223,222292.0,61230.0,100.1408,2017,5
2017-06-01,12390.0,100.1949,77.2492,236980.0,60153.0,100.3471,2017,6
2017-07-01,12390.0,99.8077,77.0437,217739.0,61167.0,100.1068,2017,7
2017-08-01,12435.0,99.6412,77.0086,221312.0,61493.0,99.6925,2017,8
2017-09-01,12443.0,99.6858,77.1335,228782.0,63747.0,99.7954,2017,9
2017-10-01,12457.0,100.7464,78.0404,228333.0,63923.0,101.0247,2017,10
2017-11-01,12472.0,100.8253,78.1803,230235.0,63929.0,101.2664,2017,11
2017-12-01,12501.0,100.5601,78.0446,241711.0,63848.0,101.4644,2017,12
