date,initial_claims,continued_claims,insured_unemployment,initial_claims_4wma,year,week
2015-01-03,294000.0,2381000.0,1.8,294000.0,2015,1
2015-01-10,304000.0,2400000.0,1.8,299000.0,2015,2
2015-01-17,298000.0,2336000.0,1.8,298666.6666666667,2015,3
2015-01-24,261000.0,2335000.0,1.8,289250.0,2015,4
2015-01-31,281000.0,2297000.0,1.7,286000.0,2015,5
2015-02-07,298000.0,2344000.0,1.8,284500.0,2015,6
2015-02-14,285000.0,2319000.0,1.7,281250.0,2015,7
2015-02-21,305000.0,2341000.0,1.8,292250.0,2015,8
2015-02-28,317000.0,2357000.0,1.8,301250.0,2015,9
2015-03-07,293000.0,2361000.0,1.8,300000.0,2015,10
2015-03-14,290000.0,2361000.0,1.8,301250.0,2015,11
2015-03-21,284000.0,2306000.0,1.7,296000.0,2015,12
2015-03-28,269000.0,2278000.0,1.7,284000.0,2015,13
2015-04-04,282000.0,2273000.0,1.7,281250.0,2015,14
2015-04-11,298000.0,2320000.0,1.7,283250.0,2015,15
2015-04-18,295000.0,2279000.0,1.7,286000.0,2015,16
2015-04-25,269000.0,2254000.0,1.7,286000.0,2015,17
2015-05-02,267000.0,2261000.0,1.7,282250.0,2015,18
2015-05-09,271000.0,2253000.0,1.7,275500.0,2015,19
2015-05-16,276000.0,2258000.0,1.7,270750.0,2015,20
2015-05-23,281000.0,2236000.0,1.7,273750.0,2015,21
2015-05-30,275000.0,2294000.0,1.7,275750.0,2015,22
2015-06-06,278000.0,2250000.0,1.7,277500.0,2015,23
2015-06-13,269000.0,2268000.0,1.7,275750.0,2015,24
2015-06-20,273000.0,2265000.0,1.7,273750.0,2015,25
2015-06-27,275000.0,2312000.0,1.7,273750.0,2015,26
2015-07-04,292000.0,2233000.0,1.7,277250.0,2015,27
2015-07-11,285000.0,2226000.0,1.7,281250.0,2015,28
2015-07-18,265000.0,2267000.0,1.7,279250.0,2015,29
2015-07-25,269000.0,2253000.0,1.7,277750.0,2015,30
2015-08-01,270000.0,2257000.0,1.7,272250.0,2015,31
2015-08-08,274000.0,2247000.0,1.7,269500.0,2015,32
2015-08-15,279000.0,2256000.0,1.7,273000.0,2015,33
2015-08-22,274000.0,2252000.0,1.7,274250.0,2015,34
2015-08-29,279000.0,2258000.0,1.7,276500.0,2015,35
2015-09-05,273000.0,2243000.0,1.7,276250.0,2015,36
2015-09-12,264000.0,2255000.0,1.7,272500.0,2015,37
2015-09-19,269000.0,2234000.0,1.7,271250.0,2015,38
2015-09-26,272000.0,2240000.0,1.7,269500.0,2015,39
2015-10-03,267000.0,2207000.0,1.6,268000.0,2015,40
2015-10-10,265000.0,2214000.0,1.6,268250.0,2015,41
2015-10-17,264000.0,2194000.0,1.6,267000.0,2015,42
2015-10-24,264000.0,2218000.0,1.6,265000.0,2015,43
2015-10-31,275000.0,2205000.0,1.6,267000.0,2015,44
2015-11-07,276000.0,2209000.0,1.6,269750.0,2015,45
2015-11-14,272000.0,2185000.0,1.6,271750.0,2015,46
2015-11-21,261000.0,2181000.0,1.6,271000.0,2015,47
2015-11-28,265000.0,2259000.0,1.7,268500.0,2015,48
2015-12-05,280000.0,2242000.0,1.7,269500.0,2015,49
2015-12-12,268000.0,2190000.0,1.6,268500.0,2015,50
2015-12-19,260000.0,2176000.0,1.6,268250.0,2015,51
2015-12-26,276000.0,2207000.0,1.6,271000.0,2015,52
2016-01-02,273000.0,2218000.0,1.6,269250.0,2016,53
2016-01-09,284000.0,2190000.0,1.6,273250.0,2016,1
2016-01-16,290000.0,2221000.0,1.6,280750.0,2016,2
2016-01-23,269000.0,2199000.0,1.6,279000.0,2016,3
2016-01-30,282000.0,2210000.0,1.6,281250.0,2016,4
2016-02-06,266000.0,2213000.0,1.6,276750.0,2016,5
2016-02-13,262000.0,2206000.0,1.6,269750.0,2016,6
2016-02-20,270000.0,2203000.0,1.6,270000.0,2016,7
2016-02-27,269000.0,2180000.0,1.6,266750.0,2016,8
2016-03-05,255000.0,2203000.0,1.6,264000.0,2016,9
2016-03-12,263000.0,2163000.0,1.6,264250.0,2016,10
2016-03-19,264000.0,2138000.0,1.6,262750.0,2016,11
2016-03-26,271000.0,2165000.0,1.6,263250.0,2016,12
2016-04-02,273000.0,2151000.0,1.6,267750.0,2016,13
2016-04-09,263000.0,2139000.0,1.6,267750.0,2016,14
2016-04-16,257000.0,2135000.0,1.6,266000.0,2016,15
2016-04-23,259000.0,2137000.0,1.6,263000.0,2016,16
2016-04-30,278000.0,2183000.0,1.6,264250.0,2016,17
2016-05-07,289000.0,2185000.0,1.6,270750.0,2016,18
2016-05-14,279000.0,2177000.0,1.6,276250.0,2016,19
2016-05-21,267000.0,2186000.0,1.6,278250.0,2016,20
2016-05-28,263000.0,2131000.0,1.6,274500.0,2016,21
2016-06-04,265000.0,2170000.0,1.6,268500.0,2016,22
2016-06-11,273000.0,2158000.0,1.6,267000.0,2016,23
2016-06-18,261000.0,2160000.0,1.6,265500.0,2016,24
2016-06-25,262000.0,2139000.0,1.6,265250.0,2016,25
2016-07-02,255000.0,2131000.0,1.5,262750.0,2016,26
2016-07-09,252000.0,2125000.0,1.5,257500.0,2016,27
2016-07-16,260000.0,2140000.0,1.6,257250.0,2016,28
2016-07-23,264000.0,2134000.0,1.6,257750.0,2016,29
2016-07-30,266000.0,2143000.0,1.6,260500.0,2016,30
2016-08-06,265000.0,2157000.0,1.6,263750.0,2016,31
2016-08-13,264000.0,2137000.0,1.6,264750.0,2016,32
2016-08-20,264000.0,2148000.0,1.6,264750.0,2016,33
2016-08-27,261000.0,2138000.0,1.6,263500.0,2016,34
2016-09-03,257000.0,2149000.0,1.6,261500.0,2016,35
2016-09-10,252000.0,2110000.0,1.5,258500.0,2016,36
2016-09-17,250000.0,2098000.0,1.5,255000.0,2016,37
2016-09-24,247000.0,2081000.0,1.5,251500.0,2016,38
2016-10-01,245000.0,2080000.0,1.5,248500.0,2016,39
2016-10-08,250000.0,2081000.0,1.5,248000.0,2016,40
2016-10-15,263000.0,2069000.0,1.5,251250.0,2016,41
2016-10-22,256000.0,2066000.0,1.5,253500.0,2016,42
2016-10-29,265000.0,2067000.0,1.5,258500.0,2016,43
2016-11-05,250000.0,2046000.0,1.5,258500.0,2016,44
2016-11-12,232000.0,2045000.0,1.5,250750.0,2016,45
2016-11-19,246000.0,2050000.0,1.5,248250.0,2016,46
2016-11-26,255000.0,2038000.0,1.5,245750.0,2016,47
2016-12-03,248000.0,2029000.0,1.5,245250.0,2016,48
2016-12-10,252000.0,2030000.0,1.5,250250.0,2016,49
2016-12-17,260000.0,2078000.0,1.5,253750.0,2016,50
2016-12-24,257000.0,2077000.0,1.5,254250.0,2016,51
2016-12-31,244000.0,2028000.0,1.5,253250.0,2016,52
2017-01-07,245000.0,2080000.0,1.5,251500.0,2017,1
2017-01-14,240000.0,2099000.0,1.5,246500.0,2017,2
2017-01-21,250000.0,2067000.0,1.5,244750.0,2017,3
2017-01-28,241000.0,2078000.0,1.5,244000.0,2017,4
2017-02-04,230000.0,2064000.0,1.5,240250.0,2017,5
2017-02-11,233000.0,2076000.0,1.5,238500.0,2017,6
2017-02-18,237000.0,2034000.0,1.5,235250.0,2017,7
2017-02-25,221000.0,2065000.0,1.5,230250.0,2017,8
2017-03-04,236000.0,2020000.0,1.5,231750.0,2017,9
2017-03-11,228000.0,2002000.0,1.4,230500.0,2017,10
2017-03-18,235000.0,2021000.0,1.5,230000.0,2017,11
2017-03-25,236000.0,2027000.0,1.5,233750.0,2017,12
2017-04-01,216000.0,1990000.0,1.4,228750.0,2017,13
2017-04-08,222000.0,1968000.0,1.4,227250.0,2017,14
2017-04-15,231000.0,1961000.0,1.4,226250.0,2017,15
2017-04-22,238000.0,1962000.0,1.4,226750.0,2017,16
2017-04-29,232000.0,1896000.0,1.4,230750.0,2017,17
2017-05-06,233000.0,1892000.0,1.4,233500.0,2017,18
2017-05-13,234000.0,1902000.0,1.4,234250.0,2017,19
2017-05-20,236000.0,1900000.0,1.4,233750.0,2017,20
2017-05-27,253000.0,1891000.0,1.4,239000.0,2017,21
2017-06-03,251000.0,1909000.0,1.4,243500.0,2017,22
2017-06-10,245000.0,1914000.0,1.4,246250.0,2017,23
2017-06-17,249000.0,1915000.0,1.4,249500.0,2017,24
2017-06-24,247000.0,1929000.0,1.4,248000.0,2017,25
2017-07-01,256000.0,1911000.0,1.4,249250.0,2017,26
2017-07-08,259000.0,1942000.0,1.4,252750.0,2017,27
2017-07-15,245000.0,1929000.0,1.4,251750.0,2017,28
2017-07-22,249000.0,1928000.0,1.4,252250.0,2017,29
2017-07-29,245000.0,1926000.0,1.4,249500.0,2017,30
2017-08-05,254000.0,1928000.0,1.4,248250.0,2017,31
2017-08-12,245000.0,1926000.0,1.4,248250.0,2017,32
2017-08-19,245000.0,1928000.0,1.4,247250.0,2017,33
2017-08-26,247000.0,1912000.0,1.4,247750.0,2017,34
2017-09-02,297000.0,1911000.0,1.4,258500.0,2017,35
2017-09-09,280000.0,1939000.0,1.4,267250.0,2017,36
2017-09-16,261000.0,1872000.0,1.3,271250.0,2017,37
2017-09-23,264000.0,1871000.0,1.3,275500.0,2017,38
2017-09-30,260000.0,1871000.0,1.3,266250.0,2017,39
2017-10-07,252000.0,1869000.0,1.3,259250.0,2017,40
2017-10-14,235000.0,1902000.0,1.4,252750.0,2017,41
2017-10-21,241000.0,1913000.0,1.4,247000.0,2017,42
2017-10-28,241000.0,1927000.0,1.4,242250.0,2017,43
2017-11-04,248000.0,1939000.0,1.4,241250.0,2017,44
2017-11-11,254000.0,1944000.0,1.4,246000.0,2017,45
2017-11-18,246000.0,1974000.0,1.4,247250.0,2017,46
2017-11-25,243000.0,1997000.0,1.4,247750.0,2017,47
2017-12-02,241000.0,1953000.0,1.4,246000.0,2017,48
2017-12-09,229000.0,1984000.0,1.4,239750.0,2017,49
2017-12-16,244000.0,2006000.0,1.4,239250.0,2017,50
2017-12-23,251000.0,1979000.0,1.4,241250.0,2017,51
2017-12-30,248000.0,1933000.0,1.4,243000.0,2017,52
2018-01-06,252000.0,1971000.0,1.4,248750.0,2018,1
