date,crude_input,year,month
1961-01-01,8366.0,1961,1
1961-02-01,8456.0,1961,2
1961-03-01,8096.0,1961,3
1961-04-01,7819.0,1961,4
1961-05-01,8031.0,1961,5
1961-06-01,7986.0,1961,6
1961-07-01,8289.0,1961,7
1961-08-01,8455.0,1961,8
1961-09-01,7976.0,1961,9
1961-10-01,8179.0,1961,10
1961-11-01,8205.0,1961,11
1961-12-01,8352.0,1961,12
1962-01-01,8556.0,1962,1
1962-02-01,8642.0,1962,2
1962-03-01,8193.0,1962,3
1962-04-01,8099.0,1962,4
1962-05-01,8267.0,1962,5
1962-06-01,8626.0,1962,6
1962-07-01,8530.0,1962,7
1962-08-01,8469.0,1962,8
1962-09-01,8422.0,1962,9
1962-10-01,8260.0,1962,10
1962-11-01,8368.0,1962,11
1962-12-01,8505.0,1962,12
1963-01-01,8692.0,1963,1
1963-02-01,8979.0,1963,2
1963-03-01,8677.0,1963,3
1963-04-01,8324.0,1963,4
1963-05-01,8514.0,1963,5
1963-06-01,8786.0,1963,6
1963-07-01,8796.0,1963,7
1963-08-01,8824.0,1963,8
1963-09-01,8674.0,1963,9
1963-10-01,8609.0,1963,10
1963-11-01,8700.0,1963,11
1963-12-01,8686.0,1963,12
1964-01-01,8761.0,1964,1
1964-02-01,8803.0,1964,2
1964-03-01,8657.0,1964,3
1964-04-01,8581.0,1964,4
1964-05-01,8596.0,1964,5
1964-06-01,8883.0,1964,6
1964-07-01,9020.0,1964,7
1964-08-01,9009.0,1964,8
1964-09-01,8905.0,1964,9
1964-10-01,8786.0,1964,10
1964-11-01,8697.0,1964,11
1964-12-01,8979.0,1964,12
1965-01-01,8938.0,1965,1
1965-02-01,8940.0,1965,2
1965-03-01,8878.0,1965,3
1965-04-01,8744.0,1965,4
1965-05-01,8804.0,1965,5
1965-06-01,9104.0,1965,6
1965-07-01,9312.0,1965,7
1965-08-01,9228.0,1965,8
1965-09-01,9008.0,1965,9
1965-10-01,9087.0,1965,10
1965-11-01,9201.0,1965,11
1965-12-01,9264.0,1965,12
1966-01-01,9375.0,1966,1
1966-02-01,9344.0,1966,2
1966-03-01,9202.0,1966,3
1966-04-01,9057.0,1966,4
1966-05-01,9359.0,1966,5
1966-06-01,9519.0,1966,6
1966-07-01,9670.0,1966,7
1966-08-01,9610.0,1966,8
1966-09-01,9669.0,1966,9
1966-10-01,9528.0,1966,10
1966-11-01,9363.0,1966,11
1966-12-01,9621.0,1966,12
1967-01-01,9477.0,1967,1
1967-02-01,9585.0,1967,2
1967-03-01,9550.0,1967,3
1967-04-01,9429.0,1967,4
1967-05-01,9584.0,1967,5
1967-06-01,9819.0,1967,6
1967-07-01,10001.0,1967,7
1967-08-01,9992.0,1967,8
1967-09-01,10065.0,1967,9
1967-10-01,10030.0,1967,10
1967-11-01,9969.0,1967,11
1967-12-01,10261.0,1967,12
1968-01-01,10093.0,1968,1
1968-02-01,10242.0,1968,2
1968-03-01,10089.0,1968,3
1968-04-01,9984.0,1968,4
1968-05-01,10454.0,1968,5
1968-06-01,10339.0,1968,6
1968-07-01,10585.0,1968,7
1968-08-01,10595.0,1968,8
1968-09-01,10412.0,1968,9
1968-10-01,10306.0,1968,10
1968-11-01,10159.0,1968,11
1968-12-01,10475.0,1968,12
1969-01-01,9801.0,1969,1
1969-02-01,10690.0,1969,2
1969-03-01,10507.0,1969,3
1969-04-01,10403.0,1969,4
1969-05-01,10521.0,1969,5
1969-06-01,10815.0,1969,6
1969-07-01,10937.0,1969,7
1969-08-01,10799.0,1969,8
1969-09-01,10809.0,1969,9
1969-10-01,10505.0,1969,10
1969-11-01,10721.0,1969,11
1969-12-01,11054.0,1969,12
1970-01-01,10868.0,1970,1
1970-02-01,10885.0,1970,2
1970-03-01,10835.0,1970,3
1970-04-01,10612.0,1970,4
1970-05-01,10451.0,1970,5
1970-06-01,10872.0,1970,6
1970-07-01,10822.0,1970,7
1970-08-01,11023.0,1970,8
1970-09-01,11010.0,1970,9
1970-10-01,10859.0,1970,10
1970-11-01,11021.0,1970,11
1970-12-01,11183.0,1970,12
1971-01-01,11127.0,1971,1
1971-02-01,11152.0,1971,2
1971-03-01,11132.0,1971,3
1971-04-01,11207.0,1971,4
1971-05-01,10735.0,1971,5
1971-06-01,11484.0,1971,6
1971-07-01,11452.0,1971,7
1971-08-01,11368.0,1971,8
1971-09-01,11134.0,1971,9
1971-10-01,11146.0,1971,10
1971-11-01,11119.0,1971,11
1971-12-01,11338.0,1971,12
1972-01-01,11388.0,1972,1
1972-02-01,11356.0,1972,2
1972-03-01,11345.0,1972,3
1972-04-01,11184.0,1972,4
1972-05-01,11478.0,1972,5
1972-06-01,11841.0,1972,6
1972-07-01,11885.0,1972,7
1972-08-01,11915.0,1972,8
1972-09-01,12112.0,1972,9
1972-10-01,11871.0,1972,10
1972-11-01,11851.0,1972,11
1972-12-01,12113.0,1972,12
1973-01-01,12190.0,1973,1
1973-02-01,12187.0,1973,2
1973-03-01,12201.0,1973,3
1973-04-01,12208.0,1973,4
1973-05-01,12281.0,1973,5
1973-06-01,12862.0,1973,6
1973-07-01,12750.0,1973,7
1973-08-01,12635.0,1973,8
1973-09-01,12560.0,1973,9
1973-10-01,12758.0,1973,10
1973-11-01,12374.0,1973,11
1973-12-01,12150.0,1973,12
1974-01-01,11491.0,1974,1
1974-02-01,11102.0,1974,2
1974-03-01,11355.0,1974,3
1974-04-01,11823.0,1974,4
1974-05-01,12333.0,1974,5
1974-06-01,12697.0,1974,6
1974-07-01,12811.0,1974,7
1974-08-01,12644.0,1974,8
1974-09-01,12124.0,1974,9
1974-10-01,12286.0,1974,10
1974-11-01,12332.0,1974,11
1974-12-01,12519.0,1974,12
1975-01-01,12297.0,1975,1
1975-02-01,12135.0,1975,2
1975-03-01,11905.0,1975,3
1975-04-01,11803.0,1975,4
1975-05-01,11983.0,1975,5
1975-06-01,12417.0,1975,6
1975-07-01,12915.0,1975,7
1975-08-01,13046.0,1975,8
1975-09-01,12945.0,1975,9
1975-10-01,12365.0,1975,10
1975-11-01,12689.0,1975,11
1975-12-01,12779.0,1975,12
1976-01-01,12560.0,1976,1
1976-02-01,12834.0,1976,2
1976-03-01,12877.0,1976,3
1976-04-01,12727.0,1976,4
1976-05-01,12920.0,1976,5
1976-06-01,13799.0,1976,6
1976-07-01,13901.0,1976,7
1976-08-01,13888.0,1976,8
1976-09-01,13716.0,1976,9
1976-10-01,13319.0,1976,10
1976-11-01,14101.0,1976,11
1976-12-01,14333.0,1976,12
1977-01-01,14130.0,1977,1
1977-02-01,14734.0,1977,2
1977-03-01,14263.0,1977,3
1977-04-01,14177.0,1977,4
1977-05-01,14593.0,1977,5
1977-06-01,14865.0,1977,6
1977-07-01,14882.0,1977,7
1977-08-01,14642.0,1977,8
1977-09-01,14924.0,1977,9
1977-10-01,14654.0,1977,10
1977-11-01,14636.0,1977,11
1977-12-01,14748.0,1977,12
1978-01-01,14150.0,1978,1
1978-02-01,13969.0,1978,2
1978-03-01,14148.0,1978,3
1978-04-01,13886.0,1978,4
1978-05-01,14996.0,1978,5
1978-06-01,14693.0,1978,6
1978-07-01,14911.0,1978,7
1978-08-01,15196.0,1978,8
1978-09-01,15085.0,1978,9
1978-10-01,15005.0,1978,10
1978-11-01,15336.0,1978,11
1978-12-01,15421.0,1978,12
1979-01-01,14840.0,1979,1
1979-02-01,14314.0,1979,2
1979-03-01,14260.0,1979,3
