date,exports_travel,exports_financial,exports_ip,exports_telecom,imports_travel,imports_financial,imports_telecom,quarter,total_services_exports,total_services_imports,services_balance
2015-01-01,46.959,30.886,28.044,9.836,24.662,8.015,9.598,2015Q1,115.725,42.275,73.44999999999999
2015-04-01,48.34,29.248,27.978,10.136,25.666,8.365,9.742,2015Q2,115.702,43.772999999999996,71.929
2015-07-01,48.717,28.221,27.875,10.526,25.967,8.261,9.779,2015Q3,115.339,44.00699999999999,71.33200000000001
2015-10-01,48.586,27.333,27.254,10.928,26.37,8.045,9.696,2015Q4,114.101,44.111,69.99000000000001
2016-01-01,47.92,27.958,27.107,10.681,26.808,8.14,10.054,2016Q1,113.666,45.002,68.66399999999999
2016-04-01,48.102,28.723,28.542,10.717,27.093,8.214,9.696,2016Q2,116.08399999999999,45.003,71.08099999999999
2016-07-01,48.629,29.891,29.299,10.615,27.389,8.392,9.895,2016Q3,118.43399999999998,45.676,72.75799999999998
2016-10-01,48.216,30.677,28.033,11.108,27.865,8.397,10.074,2016Q4,118.034,46.336,71.69800000000001
2017-01-01,47.099,31.658,29.393,11.427,28.312,8.747,10.598,2017Q1,119.577,47.657,71.92
2017-04-01,49.308,32.121,29.257,11.631,29.347,9.331,10.5,2017Q2,122.31700000000001,49.178,73.13900000000001
2017-07-01,49.724,33.606,28.786,12.232,29.906,9.863,11.071,2017Q3,124.348,50.839999999999996,73.50800000000001
2017-10-01,50.337,34.348,30.711,12.367,30.366,10.011,10.922,2017Q4,127.763,51.29899999999999,76.46400000000001
2018-01-01,51.194,34.303,30.29,12.536,31.498,9.958,10.656,2018Q1,128.323,52.112,76.21100000000001
2018-04-01,50.335,34.432,28.903,12.322,30.913,10.521,10.665,2018Q2,125.99199999999999,52.099,73.893
2018-07-01,49.95,34.218,28.523,12.293,31.255,10.337,10.633,2018Q3,124.98400000000001,52.224999999999994,72.75900000000001
2018-10-01,49.245,33.32,27.783,12.962,32.051,10.528,10.587,2018Q4,123.31,53.166,70.144
2019-01-01,49.699,35.384,29.675,14.122,32.939,10.828,11.619,2019Q1,128.88,55.385999999999996,73.494
2019-04-01,50.706,35.935,32.371,15.149,33.386,11.228,12.303,2019Q2,134.161,56.917,77.244
2019-07-01,48.592,34.647,32.735,15.52,32.387,11.244,12.335,2019Q3,131.494,55.966,75.52799999999999
2019-10-01,49.984,36.58,31.386,15.636,33.279,11.166,12.51,2019Q4,133.58599999999998,56.955000000000005,76.63099999999997
2020-01-01,36.23,36.499,30.152,15.124,20.94,11.674,12.141,2020Q1,118.005,44.755,73.25
2020-04-01,13.978,37.101,28.793,14.33,2.124,11.414,11.791,2020Q2,94.202,25.329,68.87299999999999
2020-07-01,10.431,37.228,30.683,14.748,3.676,10.987,11.872,2020Q3,93.09,26.535,66.555
2020-10-01,11.84,40.01,34.013,16.069,7.658,11.733,12.993,2020Q4,101.932,32.384,69.548
2021-01-01,13.287,42.277,33.104,15.816,8.374,12.076,14.077,2021Q1,104.48400000000001,34.527,69.95700000000001
2021-04-01,15.838,42.668,34.422,16.017,12.163,12.48,14.465,2021Q2,108.945,39.108000000000004,69.83699999999999
2021-07-01,18.078,43.256,36.335,15.866,18.536,13.098,14.851,2021Q3,113.53500000000001,46.485,67.05000000000001
2021-10-01,24.544,43.103,38.942,16.183,20.253,13.436,15.463,2021Q4,122.77199999999999,49.152,73.61999999999999
2022-01-01,28.185,41.951,38.187,16.457,21.849,13.345,14.848,2022Q1,124.78,50.042,74.738
2022-04-01,35.774,41.955,37.568,17.723,29.74,13.516,15.242,2022Q2,133.01999999999998,58.498000000000005,74.52199999999998
2022-07-01,37.967,42.009,39.823,18.281,32.985,14.699,15.313,2022Q3,138.08,62.997,75.08300000000001
2022-10-01,42.096,41.11,37.133,18.944,34.926,16.034,15.316,2022Q4,139.283,66.276,73.00699999999999
2023-01-01,43.948,43.194,38.21,18.952,37.435,15.626,16.53,2023Q1,144.304,69.59100000000001,74.713
2023-04-01,46.475,43.269,37.4,20.146,39.473,15.828,16.303,2023Q2,147.29000000000002,71.604,75.68600000000002
2023-07-01,49.753,44.9,36.655,19.827,39.876,16.006,17.119,2023Q3,151.135,73.001,78.13399999999999
2023-10-01,50.446,43.686,38.32,20.638,41.423,15.459,17.12,2023Q4,153.09,74.00200000000001,79.088
2024-01-01,51.572,48.337,40.812,22.388,43.317,15.711,17.714,2024Q1,163.109,76.74199999999999,86.36700000000002
2024-04-01,53.228,48.285,42.473,22.042,44.046,15.971,17.35,2024Q2,166.028,77.36699999999999,88.661
2024-07-01,54.04,48.455,42.566,22.379,44.514,16.44,18.523,2024Q3,167.44,79.477,87.963
2024-10-01,53.974,49.86,45.635,23.066,46.749,16.07,18.837,2024Q4,172.535,81.656,90.87899999999999
2025-01-01,53.863,50.543,47.395,24.229,47.164,17.231,19.463,2025Q1,176.03000000000003,83.858,92.17200000000003
2025-04-01,53.732,51.856,47.584,24.503,47.623,17.982,20.893,2025Q2,177.675,86.49799999999999,91.17700000000002
2025-07-01,53.173,55.159,51.043,26.432,48.537,18.388,20.849,2025Q3,185.807,87.774,98.03299999999999
2025-10-01,53.326,56.452,49.247,26.567,49.71,18.474,20.92,2025Q4,185.59199999999998,89.104,96.48799999999999
2026-01-01,53.209,56.307,53.706,26.444,49.101,18.831,21.24,2026Q1,189.666,89.172,100.494
