company,total_bought_mmbbl,award_count,first_award_date,last_award_date,first_delivery_start,last_delivery_end,raw_buyer_names,tranches,delivery_windows,sites,qualities,delivery_span
Trafigura Trading LLC,34.35,4,2026-03-20,2026-05-11,2026-04-01,2026-08-31,Trafigura Trading LLC,FY26 SPR Oil Release No. 1; FY26 SPR Oil Release No. 1.a; FY26 SPR Oil Release No. 1.b; FY26 SPR Oil Release No. 2,April - May 2026; Apr-26; May-26; Jun-26; Jul-26; Aug-26,Bryan Mound; Bayou Choctaw; West Hackberry; Big Hill,Sour; Sweet,2026-04-01 to 2026-08-31
Marathon Petroleum Company,22.1,3,2026-03-20,2026-05-11,2026-04-01,2026-08-31,Marathon Petroleum Company LP; Marathon Petroleum Company,FY26 SPR Oil Release No. 1; FY26 SPR Oil Release No. 1.b; FY26 SPR Oil Release No. 2,April - May 2026; May-26; Jun-26; Jul-26; Aug-26,Bryan Mound; Bayou Choctaw; West Hackberry; Big Hill,Sour; Sweet,2026-04-01 to 2026-08-31
Shell Trading (US) Company,18.1,2,2026-03-20,2026-04-17,2026-04-01,2026-06-30,Shell Trading (US) Company,FY26 SPR Oil Release No. 1; FY26 SPR Oil Release No. 1.b,April - May 2026; May-26; Jun-26,Bryan Mound; Bayou Choctaw; West Hackberry,Sour; Sweet,2026-04-01 to 2026-06-30
ExxonMobil Oil Corporation,14.4,2,2026-04-17,2026-05-11,2026-05-01,2026-08-31,ExxonMobil Oil Corporation,FY26 SPR Oil Release No. 1.b; FY26 SPR Oil Release No. 2,May-26; Jun-26; Jul-26; Aug-26,West Hackberry; Bryan Mound; Bayou Choctaw; Big Hill,Sweet; Sour,2026-05-01 to 2026-08-31
Macquarie Commodities Trading US,11.05,3,2026-04-10,2026-05-11,2026-04-01,2026-08-31,Macquarie Commodities Trading US,FY26 SPR Oil Release No. 1.a; FY26 SPR Oil Release No. 1.b; FY26 SPR Oil Release No. 2,Apr-26; May-26; Jun-26; Jul-26; Aug-26,Bryan Mound; West Hackberry; Bayou Choctaw; Big Hill,Sour; Sweet,2026-04-01 to 2026-08-31
BP Products North America,8.1,3,2026-03-20,2026-05-11,2026-04-01,2026-08-31,BP Products North America,FY26 SPR Oil Release No. 1; FY26 SPR Oil Release No. 1.b; FY26 SPR Oil Release No. 2,April - May 2026; May-26; Jun-26; Jul-26; Aug-26,Bryan Mound; Bayou Choctaw; West Hackberry; Big Hill,Sour; Sweet,2026-04-01 to 2026-08-31
Vitol,6.0,3,2026-03-20,2026-06-22,2026-04-01,2026-09-30,Vitol Inc.; Vitol,FY26 SPR Oil Release No. 1; FY26 SPR Oil Release No. 1.b; FY26 SPR Oil Release No. 3,April - May 2026; May-26; Jun-26; Jul-26; Aug-26; Sep-26,Bryan Mound; Bayou Choctaw; West Hackberry; Big Hill,Sour; Sweet,2026-04-01 to 2026-09-30
Phillips 66,5.55,2,2026-04-10,2026-05-11,2026-04-01,2026-08-31,Phillips 66 Company; Phillips 66,FY26 SPR Oil Release No. 1.a; FY26 SPR Oil Release No. 2,Apr-26; May-26; Jun-26; Jul-26; Aug-26,Bryan Mound; Bayou Choctaw; West Hackberry; Big Hill,Sour; Sweet,2026-04-01 to 2026-08-31
Mercuria Energy America,4.5,2,2026-03-20,2026-05-11,2026-04-01,2026-08-31,Mercuria Energy America LLC; Mercuria Energy America,FY26 SPR Oil Release No. 1; FY26 SPR Oil Release No. 2,April - May 2026; Jun-26; Jul-26; Aug-26,Bryan Mound; Bayou Choctaw; West Hackberry; Big Hill,Sour; Sweet,2026-04-01 to 2026-08-31
Gunvor USA LLC,4.185,2,2026-03-20,2026-04-10,2026-04-01,2026-05-31,Gunvor USA LLC,FY26 SPR Oil Release No. 1; FY26 SPR Oil Release No. 1.a,April - May 2026; Apr-26; May-26,Bryan Mound; Bayou Choctaw; West Hackberry,Sour; Sweet,2026-04-01 to 2026-05-31
Energy Transfer Crude Marketing,2.525,3,2026-03-20,2026-05-11,2026-04-01,2026-08-31,Energy Transfer Crude Marketing LLC; Energy Transfer Crude Marketing,FY26 SPR Oil Release No. 1; FY26 SPR Oil Release No. 1.b; FY26 SPR Oil Release No. 2,April - May 2026; May-26; Jun-26; Jul-26; Aug-26,Bryan Mound; Bayou Choctaw; West Hackberry; Big Hill,Sour; Sweet,2026-04-01 to 2026-08-31
Atlantic Trading & Marketing,1.7,1,2026-05-11,2026-05-11,2026-06-01,2026-08-31,Atlantic Trading & Marketing,FY26 SPR Oil Release No. 2,Jun-26; Jul-26; Aug-26,Bryan Mound; Bayou Choctaw; West Hackberry; Big Hill,Sour; Sweet,2026-06-01 to 2026-08-31
Alon USA,1.0,1,2026-04-17,2026-04-17,2026-05-01,2026-06-30,Alon USA,FY26 SPR Oil Release No. 1.b,May-26; Jun-26,West Hackberry,Sweet,2026-05-01 to 2026-06-30
