company,buyer,award_date,tranche,buyer_volume_mmbbl,site,quality_bucket,tranche_window_volume_mmbbl,delivery_period,window_delivery_start,window_delivery_end,planned_avg_bpd,delivery_window_basis,award_source_url,rfp_window_source_url
BP Products North America,BP Products North America,2026-03-20,FY26 SPR Oil Release No. 1,5.0,Bryan Mound,Sour,42.0,April - May 2026,2026-04-01,2026-05-31,688524.59,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
BP Products North America,BP Products North America,2026-03-20,FY26 SPR Oil Release No. 1,5.0,Bayou Choctaw,Sweet,10.0,April - May 2026,2026-04-01,2026-05-31,163934.426,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
BP Products North America,BP Products North America,2026-03-20,FY26 SPR Oil Release No. 1,5.0,West Hackberry,Sour,34.0,April - May 2026,2026-04-01,2026-05-31,557377.049,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Energy Transfer Crude Marketing,Energy Transfer Crude Marketing LLC,2026-03-20,FY26 SPR Oil Release No. 1,0.375,Bryan Mound,Sour,42.0,April - May 2026,2026-04-01,2026-05-31,688524.59,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Energy Transfer Crude Marketing,Energy Transfer Crude Marketing LLC,2026-03-20,FY26 SPR Oil Release No. 1,0.375,Bayou Choctaw,Sweet,10.0,April - May 2026,2026-04-01,2026-05-31,163934.426,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Energy Transfer Crude Marketing,Energy Transfer Crude Marketing LLC,2026-03-20,FY26 SPR Oil Release No. 1,0.375,West Hackberry,Sour,34.0,April - May 2026,2026-04-01,2026-05-31,557377.049,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Gunvor USA LLC,Gunvor USA LLC,2026-03-20,FY26 SPR Oil Release No. 1,3.085,Bryan Mound,Sour,42.0,April - May 2026,2026-04-01,2026-05-31,688524.59,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Gunvor USA LLC,Gunvor USA LLC,2026-03-20,FY26 SPR Oil Release No. 1,3.085,Bayou Choctaw,Sweet,10.0,April - May 2026,2026-04-01,2026-05-31,163934.426,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Gunvor USA LLC,Gunvor USA LLC,2026-03-20,FY26 SPR Oil Release No. 1,3.085,West Hackberry,Sour,34.0,April - May 2026,2026-04-01,2026-05-31,557377.049,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Marathon Petroleum Company,Marathon Petroleum Company LP,2026-03-20,FY26 SPR Oil Release No. 1,7.7,Bryan Mound,Sour,42.0,April - May 2026,2026-04-01,2026-05-31,688524.59,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
