tranche,site,stream,mode_of_delivery,barrels_per_day_limit,source_url,source_section
FY26 SPR Oil Release No. 1,Bryan Mound,Sour,Freeport Docks,480000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1,Bryan Mound,Sour,Pipeline (Texas City),880000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1,Bryan Mound,Sour,Texas City Docks,300000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1,Bryan Mound,Sweet,Freeport Docks,480000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1,Bryan Mound,Sweet,Pipeline (Texas City),880000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1,Bryan Mound,Sweet,Texas City Docks,300000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1,West Hackberry,Sour,Nederland Pipeline,760000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1,West Hackberry,Sour,Nederland Docks,600000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1,West Hackberry,Sour,Lake Charles Meter Station,360000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1,West Hackberry,Sweet,Nederland Pipeline,760000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1,West Hackberry,Sweet,Nederland Docks,600000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1,West Hackberry,Sweet,Lake Charles Meter Station,360000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1,Bayou Choctaw,Sweet,Redstick,300000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1,Bayou Choctaw,Sweet,Bourre,300000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1,Bayou Choctaw,Sweet,St. James Docks,300000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1.a,Bryan Mound,Sour,Freeport Docks,480000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1.a,Bryan Mound,Sour,Pipeline (Texas City),880000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1.a,Bryan Mound,Sour,Texas City Docks,300000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 1.b,West Hackberry,Sweet,Nederland Pipeline,760000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 2,Bryan Mound,Sour,Freeport Docks,480000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 2,Bryan Mound,Sour,Pipeline (Texas City),880000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 2,West Hackberry,Sour,Nederland Pipeline,760000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 2,West Hackberry,Sour,Lake Charles Meter Station,360000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 2,West Hackberry,Sweet,Nederland Pipeline,760000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 2,West Hackberry,Sweet,Lake Charles Meter Station,360000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 2,Big Hill,Sour,Nederland Pipeline,760000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 2,Big Hill,Sour,P66 Beaumont,480000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 2,Bayou Choctaw,Sour,Redstick,300000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 2,Bayou Choctaw,Sour,Bourre,300000.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 3,Big Hill,Sour,Nederland Pipeline,760000.0,https://www.spr.doe.gov/posting/EXCHANGE/FY26%20SPR%20Oil%20Release%20No.%203/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%203%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 3,Big Hill,Sour,P66 Beaumont,480000.0,https://www.spr.doe.gov/posting/EXCHANGE/FY26%20SPR%20Oil%20Release%20No.%203/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%203%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 3,Bryan Mound,Sour,Freeport Docks,480000.0,https://www.spr.doe.gov/posting/EXCHANGE/FY26%20SPR%20Oil%20Release%20No.%203/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%203%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
FY26 SPR Oil Release No. 3,Bryan Mound,Sour,Pipeline (Texas City),880000.0,https://www.spr.doe.gov/posting/EXCHANGE/FY26%20SPR%20Oil%20Release%20No.%203/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%203%20Request%20for%20Proposal.pdf,RFP Section B.6(d)
