date,week,tranche,buyer,volume_mmbbl,status,source_url,buyer_site_allocation,quality_allocation,month,month_label
2026-03-20,2026-03-20,FY26 SPR Oil Release No. 1,BP Products North America,5.0,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-03,Mar 2026
2026-03-20,2026-03-20,FY26 SPR Oil Release No. 1,Energy Transfer Crude Marketing LLC,0.375,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-03,Mar 2026
2026-03-20,2026-03-20,FY26 SPR Oil Release No. 1,Gunvor USA LLC,3.085,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-03,Mar 2026
2026-03-20,2026-03-20,FY26 SPR Oil Release No. 1,Marathon Petroleum Company LP,7.7,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-03,Mar 2026
2026-03-20,2026-03-20,FY26 SPR Oil Release No. 1,Mercuria Energy America LLC,2.0,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-03,Mar 2026
2026-03-20,2026-03-20,FY26 SPR Oil Release No. 1,Shell Trading (US) Company,16.2,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-03,Mar 2026
2026-03-20,2026-03-20,FY26 SPR Oil Release No. 1,Trafigura Trading LLC,8.86,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-03,Mar 2026
2026-03-20,2026-03-20,FY26 SPR Oil Release No. 1,Vitol Inc.,2.0,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-03,Mar 2026
2026-04-10,2026-04-10,FY26 SPR Oil Release No. 1.a,Gunvor USA LLC,1.1,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-04,Apr 2026
2026-04-10,2026-04-10,FY26 SPR Oil Release No. 1.a,Macquarie Commodities Trading US,2.0,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-04,Apr 2026
2026-04-10,2026-04-10,FY26 SPR Oil Release No. 1.a,Phillips 66 Company,2.9,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-04,Apr 2026
2026-04-10,2026-04-10,FY26 SPR Oil Release No. 1.a,Trafigura Trading LLC,2.48,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-04,Apr 2026
2026-04-17,2026-04-17,FY26 SPR Oil Release No. 1.b,Alon USA,1.0,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-04,Apr 2026
2026-04-17,2026-04-17,FY26 SPR Oil Release No. 1.b,BP Products North America,1.0,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-04,Apr 2026
2026-04-17,2026-04-17,FY26 SPR Oil Release No. 1.b,Energy Transfer Crude Marketing,1.1,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-04,Apr 2026
