date,tranche,site,quality_bucket,stream,volume_mmbbl,delivery_period,delivery_start,delivery_end,delivery_month,delivery_days,planned_avg_bpd,planned_avg_mmbd,return_site,nominal_delivery_rate_mmbbl_per_month,nominal_receipt_rate_mmbbl_per_month,minimum_premium,status,source_url,source_section,notes,month,month_label
2026-04-01,FY26 SPR Oil Release No. 1,Bryan Mound,Sour,Sour,42.0,April - May 2026,2026-04-01,2026-05-31,2026-04,61,688524.5901639344,0.6885245901639344,Bryan Mound,21.0,3.0,,Solicited,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section C,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-04,Apr 2026
2026-04-01,FY26 SPR Oil Release No. 1,Bayou Choctaw,Sweet,Sweet,10.0,April - May 2026,2026-04-01,2026-05-31,2026-04,61,163934.4262295082,0.16393442622950818,Bayou Choctaw,5.0,1.2,,Solicited,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section C,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-04,Apr 2026
2026-04-01,FY26 SPR Oil Release No. 1,West Hackberry,Sour,Sour,34.0,April - May 2026,2026-04-01,2026-05-31,2026-04,61,557377.0491803279,0.5573770491803279,,17.0,0.0,,Solicited,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,RFP Section C,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-04,Apr 2026
2026-04-01,FY26 SPR Oil Release No. 1.a,Bryan Mound,Sour,Sour,2.0,Apr-26,2026-04-01,2026-04-30,2026-04,30,66666.66666666667,0.06666666666666667,Bryan Mound,0.0,3.0,17.0%,Solicited,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Request%20for%20Proposal.pdf,RFP Section C,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-04,Apr 2026
2026-05-01,FY26 SPR Oil Release No. 1.a,Bryan Mound,Sour,Sour,8.0,May-26,2026-05-01,2026-05-31,2026-05,31,258064.51612903227,0.25806451612903225,Bryan Mound,0.0,3.0,17.0%,Solicited,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Request%20for%20Proposal.pdf,RFP Section C,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-05,May 2026
2026-05-01,FY26 SPR Oil Release No. 1.b,West Hackberry,Sweet,Sweet,10.0,May-26,2026-05-01,2026-05-31,2026-05,31,322580.6451612903,0.3225806451612903,West Hackberry,0.0,3.3,18.5%,Solicited,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Request%20for%20Proposal.pdf,RFP Section C,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-05,May 2026
2026-06-01,FY26 SPR Oil Release No. 1.b,West Hackberry,Sweet,Sweet,20.0,Jun-26,2026-06-01,2026-06-30,2026-06,30,666666.6666666666,0.6666666666666666,West Hackberry,0.0,3.3,18.5%,Solicited,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Request%20for%20Proposal.pdf,RFP Section C,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-06,Jun 2026
2026-06-01,FY26 SPR Oil Release No. 2,Bryan Mound,Sour,Sour,12.0,Jun-26,2026-06-01,2026-06-30,2026-06,30,400000.0,0.4,Bryan Mound,0.0,3.0,18.0%,Solicited,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,RFP Section C,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-06,Jun 2026
2026-07-01,FY26 SPR Oil Release No. 2,Bryan Mound,Sour,Sour,9.0,Jul-26,2026-07-01,2026-07-31,2026-07,31,290322.5806451613,0.29032258064516125,Bryan Mound,0.0,3.0,18.0%,Solicited,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,RFP Section C,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-07,Jul 2026
2026-08-01,FY26 SPR Oil Release No. 2,Bryan Mound,Sweet,Sweet,15.0,Aug-26,2026-08-01,2026-08-31,2026-08,31,483870.96774193546,0.48387096774193544,Bryan Mound,0.0,3.0,18.0%,Solicited,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,RFP Section C,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-08,Aug 2026
