date,week,tranche,status,site,volume_mmbbl,quality_bucket,quality_method,source_url,notes,month,month_label
2026-03-20,2026-03-20,FY26 SPR Oil Release No. 1,Awarded,Bayou Choctaw; Bryan Mound; West Hackberry,45.22,Public award split not stated,Award PDF does not allocate buyers across the RFP sweet/sour plan rows,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,Buyer-level site and quality allocations are not published in DOE award information.,2026-03,Mar 2026
2026-04-01,2026-04-01,FY26 SPR Oil Release No. 1,Solicited,Bryan Mound,42.0,Sour,RFP Section C site/stream planned allocation,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-04,Apr 2026
2026-04-01,2026-04-01,FY26 SPR Oil Release No. 1,Solicited,Bayou Choctaw,10.0,Sweet,RFP Section C site/stream planned allocation,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-04,Apr 2026
2026-04-01,2026-04-01,FY26 SPR Oil Release No. 1,Solicited,West Hackberry,34.0,Sour,RFP Section C site/stream planned allocation,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-04,Apr 2026
2026-04-01,2026-04-01,FY26 SPR Oil Release No. 1.a,Solicited,Bryan Mound,2.0,Sour,RFP Section C site/stream planned allocation,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Request%20for%20Proposal.pdf,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-04,Apr 2026
2026-04-10,2026-04-10,FY26 SPR Oil Release No. 1.a,Awarded,Bryan Mound,8.48,Sour,Award PDF buyer total mapped to single-quality RFP tranche,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Award%20Information.pdf,Buyer-level site and quality allocations are not published in DOE award information.,2026-04,Apr 2026
2026-04-17,2026-04-17,FY26 SPR Oil Release No. 1.b,Awarded,West Hackberry,26.03,Sweet,Award PDF buyer total mapped to single-quality RFP tranche,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,Buyer-level site and quality allocations are not published in DOE award information.,2026-04,Apr 2026
2026-05-01,2026-05-01,FY26 SPR Oil Release No. 1.a,Solicited,Bryan Mound,8.0,Sour,RFP Section C site/stream planned allocation,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Request%20for%20Proposal.pdf,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-05,May 2026
2026-05-01,2026-05-01,FY26 SPR Oil Release No. 1.b,Solicited,West Hackberry,10.0,Sweet,RFP Section C site/stream planned allocation,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Request%20for%20Proposal.pdf,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-05,May 2026
2026-05-11,2026-05-11,FY26 SPR Oil Release No. 2,Awarded,Bayou Choctaw; Big Hill; Bryan Mound; West Hackberry,53.33,Public award split not stated,Award PDF does not allocate buyers across the RFP sweet/sour plan rows,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Award%20Information.pdf,Buyer-level site and quality allocations are not published in DOE award information.,2026-05,May 2026
