date,imp_capital,imp_consumer,imp_automotive,imp_foods,imp_industrial,imp_petroleum,imp_computers,imp_aircraft,exp_capital,exp_consumer,exp_automotive,exp_foods,exp_industrial,exp_petroleum,exp_computers,exp_aircraft,quarter,bal_capital,bal_consumer,bal_automotive,bal_foods,bal_industrial,bal_petroleum,bal_computers,bal_aircraft
2015-01-01,617.374,592.776,335.122,128.948,533.806,224.479,123.064,55.154,548.878,199.963,148.162,136.211,436.358,116.287,46.443,122.679,2015Q1,-68.49599999999998,-392.813,-186.96,7.263000000000005,-97.44800000000004,-108.19200000000001,-76.621,67.525
2015-04-01,612.679,595.448,354.057,130.181,499.82,205.764,119.152,55.666,545.385,196.338,151.785,129.374,439.01,120.164,46.587,119.229,2015Q2,-67.29399999999998,-399.11,-202.27200000000002,-0.8070000000000164,-60.81,-85.60000000000001,-72.565,63.563
2015-07-01,601.498,603.096,357.427,129.001,482.842,196.418,121.9,55.413,535.141,196.423,154.668,122.701,413.586,107.773,47.401,114.847,2015Q3,-66.35700000000008,-406.673,-202.75900000000001,-6.300000000000011,-69.25599999999997,-88.64500000000001,-74.499,59.434
2015-10-01,597.088,594.348,353.59,126.919,436.081,162.288,116.986,54.758,529.815,196.547,152.96,122.597,383.612,95.885,46.954,121.196,2015Q4,-67.27299999999991,-397.80099999999993,-200.62999999999997,-4.322000000000003,-52.468999999999994,-66.403,-70.03200000000001,66.43799999999999
2016-01-01,585.082,585.669,349.778,129.714,403.714,137.34,114.912,48.793,522.23,190.945,146.972,121.296,369.199,89.133,47.061,119.164,2016Q1,-62.851999999999975,-394.724,-202.806,-8.417999999999992,-34.514999999999986,-48.20700000000001,-67.851,70.37100000000001
2016-04-01,596.825,580.69,347.361,128.792,422.742,150.643,114.072,54.788,520.663,191.805,151.551,121.106,383.975,102.048,46.337,122.85,2016Q2,-76.16200000000003,-388.88500000000005,-195.81,-7.686000000000007,-38.766999999999996,-48.595,-67.735,68.062
2016-07-01,593.049,582.379,350.617,130.427,453.77,170.593,113.069,49.039,515.801,195.489,152.486,143.862,394.423,100.209,43.854,120.811,2016Q3,-77.24799999999993,-386.89,-198.13100000000003,13.435000000000002,-59.34699999999998,-70.38399999999999,-69.215,71.772
2016-10-01,599.499,590.862,355.632,135.109,469.388,179.818,116.275,47.367,521.31,194.792,150.581,135.796,402.802,105.54,42.98,120.91,2016Q4,-78.18900000000008,-396.06999999999994,-205.05100000000002,0.6869999999999834,-66.58599999999996,-74.278,-73.29500000000002,73.543
2017-01-01,618.203,590.784,361.132,134.721,507.453,213.575,119.375,51.456,523.822,195.292,157.515,134.337,448.626,136.038,43.77,118.832,2017Q1,-94.38099999999997,-395.49199999999996,-203.61700000000002,-0.38400000000001455,-58.827,-77.53699999999998,-75.60499999999999,67.37599999999999
2017-04-01,632.582,601.858,359.087,137.432,493.071,187.275,125.909,49.705,523.2,198.372,156.479,130.171,440.498,129.612,45.201,118.99,2017Q2,-109.38199999999995,-403.48599999999993,-202.60799999999998,-7.260999999999996,-52.573000000000036,-57.66300000000001,-80.708,69.285
2017-07-01,649.225,588.941,355.792,139.971,484.826,179.113,133.924,52.478,539.192,195.652,155.455,133.399,447.741,131.765,45.843,125.985,2017Q3,-110.03300000000002,-393.28900000000004,-200.33699999999996,-6.572000000000003,-37.085000000000036,-47.34800000000001,-88.081,73.507
2017-10-01,671.445,632.296,360.46,143.178,527.219,209.723,134.472,51.814,548.569,199.442,162.019,133.135,500.653,165.13,49.398,120.063,2017Q4,-122.87600000000009,-432.85400000000004,-198.44099999999997,-10.043000000000006,-26.56600000000003,-44.59300000000002,-85.07400000000001,68.249
2018-01-01,684.186,647.276,371.64,147.278,560.482,230.252,141.481,52.618,557.039,204.522,165.235,130.268,511.231,170.697,48.841,127.878,2018Q1,-127.14700000000005,-442.75399999999996,-206.40499999999997,-17.00999999999999,-49.250999999999976,-59.55500000000001,-92.63999999999999,75.25999999999999
2018-04-01,696.249,632.618,362.14,147.328,575.705,240.808,143.8,54.858,567.664,205.671,161.32,144.729,544.395,195.895,50.512,131.311,2018Q2,-128.58500000000004,-426.94700000000006,-200.82,-2.5989999999999895,-31.31000000000006,-44.91299999999998,-93.28800000000001,76.453
2018-07-01,702.201,643.265,370.699,147.537,595.356,259.912,146.182,56.436,561.407,203.854,156.038,134.306,545.104,198.405,47.855,128.408,2018Q3,-140.79399999999998,-439.41099999999994,-214.661,-13.230999999999995,-50.25199999999995,-61.50699999999998,-98.327,71.97199999999998
2018-10-01,694.279,667.478,383.559,150.887,565.187,224.46,137.328,57.562,567.641,208.003,152.737,123.272,546.735,201.095,50.819,135.456,2018Q4,-126.63800000000003,-459.47499999999997,-230.82200000000003,-27.614999999999995,-18.451999999999998,-23.36500000000001,-86.509,77.89399999999999
2019-01-01,687.443,665.022,384.642,150.155,526.593,197.451,132.232,66.378,568.777,210.627,165.606,128.565,526.287,191.128,51.206,138.532,2019Q1,-118.66599999999994,-454.39500000000004,-219.036,-21.590000000000003,-0.30599999999992633,-6.3230000000000075,-81.026,72.15400000000001
2019-04-01,684.246,661.135,386.126,153.585,537.339,227.075,136.56,63.12,545.438,205.702,163.908,131.915,528.536,195.17,49.35,119.835,2019Q2,-138.808,-455.433,-222.218,-21.670000000000016,-8.803000000000111,-31.905,-87.21000000000001,56.714999999999996
2019-07-01,676.962,664.57,374.237,151.864,512.684,204.242,124.426,60.95,544.429,204.022,164.673,135.428,518.566,187.382,44.194,122.513,2019Q3,-132.53300000000002,-460.54800000000006,-209.56400000000002,-16.436000000000007,5.882000000000062,-16.859999999999985,-80.232,61.563
2019-10-01,667.88,630.443,356.273,150.616,498.801,200.713,129.907,60.8,544.354,199.576,158.113,128.044,532.336,205.07,42.942,123.193,2019Q4,-123.52599999999995,-430.86699999999996,-198.16000000000003,-22.572000000000003,33.535000000000025,4.356999999999999,-86.965,62.393
2020-01-01,646.459,605.49,353.049,154.175,479.58,180.545,122.769,55.702,531.626,187.262,153.731,130.409,522.108,193.158,42.571,115.016,2020Q1,-114.83299999999997,-418.228,-199.31799999999998,-23.76600000000002,42.52799999999996,12.613,-80.19800000000001,59.31400000000001
2020-04-01,586.732,566.974,166.728,146.947,355.225,81.381,147.423,34.277,399.737,134.35,63.034,125.091,365.427,94.925,37.961,49.407,2020Q2,-186.99499999999995,-432.624,-103.69400000000002,-21.85600000000001,10.201999999999998,13.543999999999997,-109.462,15.129999999999995
2020-07-01,660.938,670.808,335.115,158.654,406.055,111.904,152.844,48.361,448.06,178.564,147.47,145.53,431.78,129.123,41.422,58.225,2020Q3,-212.878,-492.244,-187.645,-13.123999999999995,25.724999999999966,17.218999999999994,-111.422,9.864000000000004
2020-10-01,694.082,719.632,384.616,161.988,453.619,126.893,160.138,41.18,473.981,196.458,153.276,156.096,484.992,138.157,42.792,65.411,2020Q4,-220.101,-523.174,-231.33999999999997,-5.891999999999996,31.37299999999999,11.26400000000001,-117.346,24.231
2021-01-01,728.63,749.245,362.464,164.45,542.728,172.219,168.215,44.149,493.998,192.267,151.713,163.277,546.711,165.149,44.989,68.281,2021Q1,-234.632,-556.9780000000001,-210.751,-1.1730000000000018,3.983000000000061,-7.069999999999993,-123.226,24.132000000000005
2021-04-01,758.567,751.668,347.234,183.455,617.926,206.541,161.818,43.261,527.821,209.458,142.629,161.358,605.376,203.626,46.455,79.922,2021Q2,-230.74599999999998,-542.21,-204.605,-22.09700000000001,-12.550000000000068,-2.914999999999992,-115.36300000000001,36.660999999999994
2021-07-01,769.129,745.584,329.391,189.316,665.319,229.304,168.182,40.464,522.466,228.58,139.512,155.575,629.666,211.92,47.044,81.222,2021Q3,-246.663,-517.0039999999999,-189.87900000000002,-33.741000000000014,-35.652999999999906,-17.384000000000015,-121.13799999999999,40.757999999999996
2021-10-01,797.992,825.844,346.114,195.982,718.906,256.826,179.724,38.048,541.606,256.903,151.785,177.763,688.811,251.013,48.381,90.535,2021Q4,-256.38599999999997,-568.941,-194.32899999999998,-18.218999999999994,-30.094999999999914,-5.813000000000017,-131.343,52.486999999999995
2022-01-01,853.443,888.222,379.934,204.372,779.799,285.928,192.37,45.61,555.002,237.115,153.685,172.113,753.916,297.333,48.595,91.343,2022Q1,-298.44100000000003,-651.107,-226.24900000000002,-32.259000000000015,-25.882999999999925,11.40500000000003,-143.775,45.733000000000004
2022-04-01,866.336,888.46,395.574,218.01,869.188,341.324,181.322,45.601,564.2,248.37,161.303,198.452,881.075,371.735,48.405,92.592,2022Q2,-302.13599999999997,-640.09,-234.27100000000002,-19.557999999999993,11.887000000000057,30.411,-132.917,46.991
2022-07-01,880.861,807.251,405.034,208.185,814.877,323.126,182.93,47.266,584.289,249.097,162.898,181.866,858.793,351.008,51.489,94.533,2022Q3,-296.572,-558.154,-242.136,-26.31899999999999,43.916000000000054,27.882000000000005,-131.441,47.267
2022-10-01,879.735,772.145,415.195,207.488,751.308,285.742,162.39,52.297,589.353,242.874,173.912,167.006,774.278,313.714,51.312,99.196,2022Q4,-290.38200000000006,-529.271,-241.283,-40.482,22.970000000000027,27.97199999999998,-111.07799999999999,46.899
2023-01-01,869.865,769.974,436.41,203.315,707.201,269.353,152.557,51.681,595.098,270.567,175.733,172.809,745.525,299.645,48.571,107.985,2023Q1,-274.76700000000005,-499.40700000000004,-260.677,-30.506,38.323999999999955,30.291999999999973,-103.98599999999999,56.304
