date,air_passengers,rail_passengers,vmt,year,month
2015-01-01,79.1,458200128.0,233498.0,2015,1
2015-02-01,80.2,430056703.0,217220.0,2015,2
2015-03-01,83.9,556689651.0,258017.0,2015,3
2015-04-01,82.5,541203782.0,262817.0,2015,4
2015-05-01,84.1,539871332.0,270839.0,2015,5
2015-06-01,86.4,620954019.0,270574.0,2015,6
2015-07-01,87.4,680358542.0,278372.0,2015,7
2015-08-01,86.4,627586111.0,272209.0,2015,8
2015-09-01,83.0,519017227.0,255090.0,2015,9
2015-10-01,85.0,523223360.0,268469.0,2015,10
2015-11-01,82.4,538968201.0,248843.0,2015,11
2015-12-01,82.9,561992627.0,259424.0,2015,12
2016-01-01,80.2,443214812.0,239679.0,2016,1
2016-02-01,78.8,425393477.0,223011.0,2016,2
2016-03-01,83.6,555131660.0,265147.0,2016,3
2016-04-01,82.0,512433020.0,269653.0,2016,4
2016-05-01,83.8,571922265.0,277972.0,2016,5
2016-06-01,86.6,624827889.0,276991.0,2016,6
2016-07-01,86.8,681258622.0,285160.0,2016,7
2016-08-01,84.6,622399656.0,279213.0,2016,8
2016-09-01,83.3,529746419.0,262039.0,2016,9
2016-10-01,83.8,515715563.0,275610.0,2016,10
2016-11-01,83.1,541014515.0,255154.0,2016,11
2016-12-01,82.8,562539179.0,264778.0,2016,12
2017-01-01,79.4,458016423.0,242600.0,2017,1
2017-02-01,79.0,405865664.0,225644.0,2017,2
2017-03-01,83.5,530748447.0,268343.0,2017,3
2017-04-01,83.9,561148298.0,272864.0,2017,4
2017-05-01,84.0,574606036.0,281264.0,2017,5
2017-06-01,86.5,636313142.0,280290.0,2017,6
2017-07-01,86.6,667515087.0,288566.0,2017,7
2017-08-01,85.5,628885839.0,282558.0,2017,8
2017-09-01,81.7,511006011.0,265212.0,2017,9
2017-10-01,83.6,544835510.0,278888.0,2017,10
2017-11-01,83.8,552222667.0,258159.0,2017,11
2017-12-01,82.7,558435738.0,267958.0,2017,12
2018-01-01,78.8,438710211.0,244736.0,2018,1
2018-02-01,80.1,397611189.0,227759.0,2018,2
2018-03-01,85.0,507584752.0,270705.0,2018,3
2018-04-01,82.9,502623911.0,275127.0,2018,4
2018-05-01,84.2,556052014.0,283713.0,2018,5
2018-06-01,87.5,600475156.0,282648.0,2018,6
2018-07-01,87.8,655798387.0,290989.0,2018,7
2018-08-01,86.2,622165201.0,284989.0,2018,8
2018-09-01,80.6,495908489.0,267434.0,2018,9
2018-10-01,83.4,541695863.0,281382.0,2018,10
2018-11-01,83.8,561549866.0,260473.0,2018,11
2018-12-01,82.4,551882741.0,270370.0,2018,12
2019-01-01,79.3,443790117.0,248927.0,2019,1
2019-02-01,80.5,400576951.0,231791.0,2019,2
2019-03-01,85.5,517020057.0,272379.0,2019,3
2019-04-01,84.6,532041046.0,273413.0,2019,4
2019-05-01,86.2,576765031.0,289711.0,2019,5
2019-06-01,88.8,618224369.0,281359.0,2019,6
2019-07-01,88.6,657244637.0,291520.0,2019,7
2019-08-01,86.7,626644744.0,293308.0,2019,8
2019-09-01,82.4,528336348.0,273319.0,2019,9
2019-10-01,83.9,540165523.0,283961.0,2019,10
2019-11-01,81.7,524186383.0,260326.0,2019,11
2019-12-01,85.4,583637283.0,261757.0,2019,12
2020-01-01,80.1,447564878.0,260847.0,2020,1
