period,production,imports,exports,refinery_input,spr_stocks,spr_change
2026-01-02,13.811,6.339,4.263,16.909,413464.0,0.035
2025-12-26,13.827,4.953,3.44,16.847,413219.0,0.03542857142857143
2025-12-19,13.825,6.086,3.616,16.776,412971.0,0.1142857142857143
2025-12-12,13.843,6.525,4.664,16.988,412171.0,0.035571428571428566
2025-12-05,13.853,6.589,4.009,16.86,411922.0,0.03542857142857143
2025-11-28,13.815,5.981,3.613,16.876,411674.0,0.03571428571428571
2025-11-21,13.814,6.436,3.598,16.443,411424.0,0.07114285714285713
2025-11-14,13.834,5.95,4.158,16.232,410926.0,0.07614285714285714
2025-11-07,13.862,5.222,2.816,15.973,410393.0,0.114
2025-10-31,13.651,5.924,4.367,15.256,409595.0,0.07114285714285713
2025-10-24,13.644,5.051,4.361,15.219,409097.0,0.07614285714285714
2025-10-17,13.629,5.918,4.203,15.73,408564.0,0.117
2025-10-10,13.636,5.525,4.466,15.13,407745.0,0.10857142857142857
2025-10-03,13.629,6.403,3.59,16.297,406985.0,0.04071428571428572
2025-09-26,13.505,5.833,3.751,16.168,406700.0,0.106
2025-09-19,13.501,6.495,4.484,16.476,405958.0,0.032857142857142856
2025-09-12,13.482,5.692,5.277,16.424,405728.0,0.072
2025-09-05,13.495,6.271,2.745,16.818,405224.0,0.07342857142857143
2025-08-29,13.423,6.742,3.884,16.869,404710.0,0.0727142857142857
2025-08-22,13.439,6.234,3.81,16.88,404201.0,
